"case_id","case_name","case_status","case_state","court_name","case_type","case_ongoing","case_special_collections","case_causes_of_action","case_issues"
11546,"Turnley v. Banc of America Investment Services, Inc.","Approved","Massachusetts","District of Massachusetts","Equal Employment","No","Private Employment Class Actions, Multi-LexSum (in sample)","42 U.S.C. § 1981, Title VII (including PDA), 42 U.S.C.  § 2000e, State Anti-Discrimination Law","Race discrimination, Black, Disparate Impact, Disparate Treatment, Pattern or Practice, Training, Pay / Benefits, Discipline, Conditions of Employment (including assignment, transfer, hours, working conditions, etc.), Promotion"
637,"Lewis v. Jackson","Approved","District of Columbia","No Court","Prison Conditions","No reason to think so",NULL,"42 U.S.C. § 1983","Religious programs / policies"
10411,"De Leon-Granados v. Eller And Sons Trees, Inc.","Approved","Georgia","Northern District of Georgia","Immigration and/or the Border","No","Multi-LexSum (in sample)","Migrant and Seasonal Agricultural Workers Protection Act, 29 U.S.C. §§ 1801-1871, Fair Labor Standards Act (FLSA), 29 U.S.C. §§ 201-219","Temporary foreign workers program, Employer sanctions, Employment"
9246,"EEOC v. FIRESTONE FIBERS AND TEXTILES COMPANY","Coding Complete","North Carolina","Western District of North Carolina","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Religion discrimination, Disparate Treatment, Accommodation / Leave, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits, Private Party intervened in EEOC suit"
45238,"DOJ Investigation of City of Miami Beach Police Application Practices","Approved","Florida","No Court","Disability Rights","Yes",NULL,"Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq.","Disability (inc. reasonable accommodations), Pattern or Practice, Hiring, Medical Exam / Inquiry"
17383,"Green v. Hooks","Approved","Georgia","Southern District of Georgia","Prison Conditions","No","Multi-LexSum (in sample)","42 U.S.C. § 1983","LGBTQ+, Sexual abuse by residents/inmates, Gender identity, Prison Rape Elimination Act, Assault/abuse by staff (facilities), Assault/abuse by non-staff (facilities)"
11664,"Disability Rights New Jersey v. Velez","Approved","New Jersey","District of New Jersey","Public Benefits/Government Services","No","Olmstead Cases, Multi-LexSum (in sample)","42 U.S.C. § 1983, Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701, Declaratory Judgment Act, 28 U.S.C. § 2201","Habilitation (training/treatment), Individualized planning, Integrated setting, Least restrictive environment, Placement in mental health facilities, Reassessment and care planning, Rehabilitation, Medical care, general, Medical care, unspecified, Medicaid, Disability (inc. reasonable accommodations), Mental impairment, Deinstitutionalization/decarceration, Intellectual/developmental disability, unspecified, Reasonable Accommodations"
263,"DOJ CRIPA Investigation of the Norfolk City Jail (VA)","Coding Complete","Virginia","No Court","Jail Conditions","No reason to think so","Civil Rights Division Archival Collection","Civil Rights of Institutionalized Persons Act (CRIPA), 42 U.S.C. § 1997 et seq.","Crowding (General), Sanitation / living conditions, Fire safety, Access to lawyers or judicial system, Medical care, general, Totality of conditions, Bathing and hygiene"
5893,"EEOC v. ZAPPALA FARMS, INC.","Coding Complete","New York","Northern District of New York","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Age Discrimination in Employment Act (ADEA), 29 U.S.C. §§ 621 et seq., State Anti-Discrimination Law","Disability (inc. reasonable accommodations), Retaliation, Disparate Treatment, Pay / Benefits, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits, Private Party intervened in EEOC suit"
11581,"Ball v. Betlach","Approved","Arizona","District of Arizona","Public Benefits/Government Services","No","Olmstead Cases","Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701, Medicaid, 42 U.S.C §1396 (Title XIX of the Social Security Act)","Medicaid"
11571,"Urbaniak v. Stanley","Approved","North Carolina","Eastern District of North Carolina","Prison Conditions","No","Post-PLRA enforceable consent decrees, Multi-LexSum (in sample)","42 U.S.C. § 1983","Grievance procedures"
17758,"Ochoa v. Los Angeles","Approved","California","Central District of California","Policing","Yes","Multi-LexSum (in sample)","42 U.S.C. § 1983","Record-keeping, Failure to discipline, Over/Unlawful Detention (facilities), Race discrimination, Black, Hispanic, Confinement/isolation, Failure to train, False arrest, Racial profiling, National origin discrimination, Disparate Impact, Disparate Treatment, Pattern or Practice"
11647,"Hermanson v. The Commonwealth of Massachusetts","Approved","Massachusetts","District of Massachusetts","Public Benefits/Government Services","No","Olmstead Cases, Multi-LexSum (in sample)","Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701","Medicaid"
8142,"EEOC v. BICE OF CHICAGO INC","Coding Complete","Illinois","Northern District of Illinois","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Race discrimination, Hispanic, Male, Retaliation, Disparate Treatment, Harassment / Hostile Work Environment, Conditions of Employment (including assignment, transfer, hours, working conditions, etc.), Discharge / Constructive Discharge / Layoff, Direct Suit on Merits"
10357,"United States of America v. School City of East Chicago, Indiana","Coding Complete","Indiana","Northern District of Indiana","Equal Employment","No","Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Disparate Treatment, Conditions of Employment (including assignment, transfer, hours, working conditions, etc.)"
17757,"NAACP v. Department of Commerce","Approved","Connecticut","District of Connecticut","Public Benefits/Government Services","No","Multi-LexSum (in sample)","FOIA (Freedom of Information Act), 5 U.S.C. § 552","Records Disclosure"
10475,"United States v. County of Oconto","Coding Complete","Wisconsin","Eastern District of Wisconsin","Equal Employment","No",NULL,"Title VII (including PDA), 42 U.S.C.  § 2000e","Indian, Race discrimination, American Indian/Alaskan Native, Disparate Treatment"
9258,"EEOC v. Warfield-Rohr Casket Company, Inc.","Coding Complete","Maryland","District of Maryland","Equal Employment","No","EEOC Study — in sample","Age Discrimination in Employment Act (ADEA), 29 U.S.C. §§ 621 et seq.","Age discrimination, Disparate Treatment, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits"
9260,"EEOC v. Interstate Hotels, LLC","Approved","California","Northern District of California","Equal Employment","No","EEOC Study — in sample, IWPR/Wage Project Consent Decree Study, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Indian, National origin discrimination, Retaliation, Disparate Treatment, Harassment / Hostile Work Environment, Direct Suit on Merits, Private Party intervened in EEOC suit"
15339,"Martos v. Miami-Dade County Department of Corrections and Rehabilitation","Approved","Florida","Southern District of Florida","Jail Conditions","No","Deaf or Blind in Jail/Prison, Multi-LexSum (in sample)","Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701","Phone, Access to lawyers or judicial system, Language access/needs, Rehabilitation, Language discrimination, Conditions of confinement, Hearing impairment, Disability (inc. reasonable accommodations), Failure to train, Training"
8291,"EEOC v. J.R. SIMPLOT","Coding Complete","Idaho","District of Idaho","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Indian, Race discrimination, Asian/Pacific Islander, National origin discrimination, Disparate Impact, Disparate Treatment, Hiring, Testing, Direct Suit on Merits"
8817,"EEOC v. Harco Inc. D/B/A Archibald'S Inc.","Coding Complete","District of Columbia","District of District of Columbia","Equal Employment","No","EEOC Study — in sample, IWPR/Wage Project Consent Decree Study, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Disparate Treatment, Pattern or Practice, Conditions of Employment (including assignment, transfer, hours, working conditions, etc.), Promotion, Direct Suit on Merits"
11623,"Ligas v. Maram [now Ligas v. Hamos]","Approved","Illinois","Northern District of Illinois","Public Benefits/Government Services","Yes","Olmstead Cases, Multi-LexSum (in sample)","Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701, Medicaid, 42 U.S.C §1396 (Title XIX of the Social Security Act)","Classification / placement, Housing assistance, Individualized planning, Integrated setting, Payment for care, Placement in mental health facilities, Reassessment and care planning, Record-keeping, Mental health care, general, Disability, unspecified, Medicaid, Intellectual/Developmental Disability, Public benefits (includes, e.g., in-state tuition, govt. jobs), Disability (inc. reasonable accommodations), Mental impairment, Deinstitutionalization/decarceration, Wait lists, Developmental disability without intellectual disability, Intellectual/developmental disability, unspecified, Housing"
45707,"Briskin v. City of New York","Approved","New York","Southern District of New York","Public Benefits/Government Services","Yes",NULL,"42 U.S.C. § 1983, State law, Title VII (including PDA), 42 U.S.C.  § 2000e, State Anti-Discrimination Law","LGBTQ+, Medical care, general, Sexual orientation, Sex discrimination, Male, Reproductive health care (including birth control, abortion, and others)"
45688,"State of Tennessee v. Becerra","Approved","Mississippi","Southern District of Mississippi","Healthcare Access and Reproductive Issues","Yes","Transgender Bathroom Access Cases","Administrative Procedure Act, 5 U.S.C. §§ 551 et seq.","LGBTQ+, Medical care, general, Gender identity, Sex discrimination"
9552,"Cervantes v. Guerra","Approved","Texas","Southern District of Texas","Immigration and/or the Border","No",NULL,"42 U.S.C. § 1983","Status/Classification, Public benefits (includes, e.g., in-state tuition, govt. jobs), Constitutional rights"
8991,"EEOC v. NICHOLAS MARKETS FOODTOWN","Coding Complete","New Jersey","District of New Jersey","Equal Employment","No","EEOC Study — in sample",NULL,"Disparate Treatment, Direct Suit on Merits"
8345,"EEOC v. ARKANSAS ALUMINUM ALLOYS INC","Coding Complete","Arkansas","Western District of Arkansas","Equal Employment","No","EEOC Study — in sample",NULL,"Disparate Treatment, Direct Suit on Merits"
10043,"Hill v. Lockhart","Approved","Arkansas","Eastern District of Arkansas","Criminal Justice (Other)","No",NULL,"Habeas Corpus, 28 U.S.C. §§ 2241-2253; 2254; 2255","Lethal Injection - General"
18168,"Chatman v. Otani","Approved","Hawaii","District of Hawaii","Prison Conditions","No","COVID-19 (novel coronavirus)","42 U.S.C. § 1983, Habeas Corpus, 28 U.S.C. §§ 2241-2253; 2254; 2255","Conditions of confinement, Mitigation Requested, Mitigation Granted, COVID vaccination ordered, Quarantine/isolation ordered, Independent monitor/inspector imposed/assisted"
10363,"United States of America v. Los Angeles County Metropolitan Transportation Authority","Coding Complete","California","Central District of California","Equal Employment","No","Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Religion discrimination, Pattern or Practice, Hiring, Accommodation / Leave, Conditions of Employment (including assignment, transfer, hours, working conditions, etc.)"
597,"Harris v. McCarthy","Approved","California","Central District of California","Prison Conditions","No",NULL,"42 U.S.C. § 1983","Personal injury, Sanitation / living conditions, Mail, Medical care, general, Totality of conditions"
15869,"Buroff v. Gladieux","Approved","Indiana","Northern District of Indiana","Jail Conditions","Yes","Multi-LexSum (in sample)","42 U.S.C. § 1983","Voting: General & Misc."
13353,"Kronen v. NYC","Coding Complete","New York","Southern District of New York","Policing","No","Multi-LexSum (in sample)","42 U.S.C. § 1983, State law, Declaratory Judgment Act, 28 U.S.C. § 2201","Aggressive behavior, False arrest"
10455,"United States v. Denver Housing","Coding Complete","Colorado","District of Colorado","Equal Employment","No",NULL,"Title VII (including PDA), 42 U.S.C.  § 2000e","Race, unspecified, Sex discrimination, Female, Pattern or Practice, Harassment / Hostile Work Environment, Discharge / Constructive Discharge / Layoff"
12046,"Franciscan University of Steubenville v. Sebelius","Approved","Ohio","Southern District of Ohio","Speech and Religious Freedom","No","Contraception Insurance Mandate, Multi-LexSum (in sample)","Religious Freedom Rest. Act/Religious Land Use and Inst. Persons Act (RFRA/RLUIPA), Ex Parte Young (Federal) or Bivens, Administrative Procedure Act, 5 U.S.C. §§ 551 et seq.","Contraception, Religious programs / policies, Religion discrimination"
43473,"Weems v. Montana","Approved","Montana","Montana state trial court","Healthcare Access and Reproductive Issues","No reason to think so",NULL,"State law","Abortion, Disparate Treatment, Reproductive health care (including birth control, abortion, and others), Medication abortion, Physician-only abortion laws, Criminalization"
14127,"Conde-Vidal v. Garcia-Padilla","Approved","Puerto Rico","District of Puerto Rico","Public Benefits/Government Services","Yes","Same-Sex Marriage, Multi-LexSum (in sample)","42 U.S.C. § 1983, Declaratory Judgment Act, 28 U.S.C. § 2201","LGBTQ+, Sexual orientation, Marriage, Male, Female"
8030,"EEOC v. BSH HOME APPLIANCES","Coding Complete","California","Central District of California","Equal Employment","No","EEOC Study — in sample, IWPR/Wage Project Consent Decree Study, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e, State Anti-Discrimination Law","Sex discrimination, Female, Retaliation, Disparate Treatment, Harassment / Hostile Work Environment, Discipline, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits, Private Party intervened in EEOC suit"
15343,"Price v. Medicaid Director","Approved","Ohio","Southern District of Ohio","Public Benefits/Government Services","No","Multi-LexSum (in sample)","42 U.S.C. § 1983, State law, Medicaid, 42 U.S.C §1396 (Title XIX of the Social Security Act)","Housing assistance, Least restrictive environment, Payment for care, Poverty/homelessness, Public assistance grants, Relative caretakers, Disability, unspecified, Medicaid, Public benefits (includes, e.g., in-state tuition, govt. jobs), Timeliness of case assignment, Wait lists, Government services"
15741,"Brown v. Twenty-First Century Fox","Approved","New York","New York state trial court","Equal Employment","No",NULL,"State law, State Anti-Discrimination Law","Other, Race discrimination, Black, Hispanic, National origin discrimination, Disparate Treatment, Pay / Benefits, Harassment / Hostile Work Environment, Discipline"
17621,"Indy 10 Black Lives Matter v. Indianapolis","Coding Complete","Indiana","Southern District of Indiana","Policing","No","Police Violence Protests, Multi-LexSum (in sample)","42 U.S.C. § 1983","Excessive force, Pepper/OC Spray (policing)"
15345,"United States v. State of North Carolina","Approved","North Carolina","Middle District of North Carolina","Public Accommodations/Contracting","No","Transgender Bathroom Access Cases, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e, Title IX of the Education Amendments of 1972, 20 U.S.C. §§ 1681 et seq.","LGBTQ+, Sexual orientation, Gender identity, Sex discrimination, Male, Female, Bathing and hygiene, Disparate Impact, Disparate Treatment, Accommodation / Leave, Conditions of Employment (including assignment, transfer, hours, working conditions, etc.), Access to public accommodations - governmental, Buildings, Bathrooms, School/University Facilities, School/University policies"
8031,"EEOC v. AMERICAN BOTTLING CO","Coding Complete","Illinois","Northern District of Illinois","Equal Employment","No","EEOC Study — in sample, IWPR/Wage Project Consent Decree Study, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Race discrimination, Black, Disparate Treatment, Pattern or Practice, Harassment / Hostile Work Environment, Direct Suit on Merits"
1018,"U.S. v. City of Los Angeles","Coding Complete","California","Central District of California","Policing","No","Traffic Stop Litigation","Violent Crime and Law Enforcement Act, 34 U.S.C. § 12601 (previously 42 U.S.C. § 14141)","Excessive force, Failure to discipline, Failure to supervise, Race discrimination, Failure to train, Improper treatment of mentally ill suspects, Inadequate citizen complaint investigations and procedures, False arrest, Racial profiling, Traffic Stops"
6077,"EEOC v. Allied Automotive Group, Inc.","Coding Complete","Minnesota","District of Minnesota","Equal Employment","No","EEOC Study — in sample","Title VII (including PDA), 42 U.S.C.  § 2000e","Disparate Treatment, Direct Suit on Merits, Private Party intervened in EEOC suit"
152,"Johnson v. O'Brien and Bullington v. Moreland","Coding Complete","Missouri","Eastern District of Missouri","Jail Conditions","No","Strip Search Cases","42 U.S.C. § 1983","Crowding (General), Food service / nutrition / hydration, Sanitation / living conditions, Recreation / Exercise, Visiting, Mail, Medical care, general, Strip search policy (facilities), Crowding: Pre-PLRA Population Cap, Law library access, Assault/abuse by staff (facilities), Assault/abuse by non-staff (facilities)"
10089,"United States v. Great Western Bank and Trust","Approved","Arizona","District of Arizona","Fair Housing/Lending/Insurance","No",NULL,"Fair Housing Act/Fair Housing Amendments Act (FHAA), 42 U.S.C. §§ 3601 et seq.","Funding, Race discrimination, American Indian/Alaskan Native, Lending"
8593,"EEOC v. RK ASSOCIATES","Coding Complete","Illinois","Northern District of Illinois","Equal Employment","No","EEOC Study — in sample",NULL,"Disparate Treatment, Direct Suit on Merits"
18316,"Hinkle v. Kent","Approved","California","Northern District of California","Disability Rights","Yes",NULL,"Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701, Medicaid, 42 U.S.C §1396 (Title XIX of the Social Security Act)","Disability, unspecified"
552,"Courtney v. Bishop","Coding Complete","Arkansas","Eastern District of Arkansas","Prison Conditions","No",NULL,"42 U.S.C. § 1983","Disciplinary segregation, Food service / nutrition / hydration, Medical care, general, Assault/abuse by staff (facilities), Assault/abuse by non-staff (facilities)"
9172,"EEOC v. FOODSCIENCE CORPORATION","Coding Complete","Vermont","District of Vermont","Equal Employment","No","EEOC Study — in sample","Equal Pay Act, 29 U.S.C. §  206(d), Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Disparate Treatment, Pay / Benefits, Direct Suit on Merits"
15471,"Corris v. Koenigsmann","Coding Complete","New York","Northern District of New York","Prison Conditions","No","Hepatitis C Treatment in Jails and Prisons, Multi-LexSum (in sample)","42 U.S.C. § 1983","Hepatitis, Torture"
18162,"Butler v. City of New York","Approved","New York","Southern District of New York","Public Benefits/Government Services","Yes",NULL,"42 U.S.C. § 1983, Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701, State law","Emergency shelter, Housing assistance, Placement in shelters, Poverty/homelessness, Disability, unspecified, Hearing impairment, Disability (inc. reasonable accommodations), Mobility impairment, Visual impairment, Mental impairment, Disparate Impact, Access to public accommodations - governmental, Reasonable Accommodations, Reasonable Modifications, Government services"
9420,"EEOC v. BELMONT MANOR INC","Coding Complete","Ohio","Southern District of Ohio","Equal Employment","No","EEOC Study — in sample",NULL,"Disparate Treatment, Direct Suit on Merits"
13137,"In re Application of the FBI for an Order Requiring the Production of Tangible Things From [Redacted], BR 11-57","Coding Complete","District of Columbia","Foreign Intelligence Surveillance Court","National Security","No","Foreign Intelligence Surveillance Act -- All Matters, Foreign Intelligence Surveillance Act -- Telephony Metadata, Foreign Intelligence Surveillance Court","FISA Title V order (PATRIOT Act § 215, business records or other tangible things), 50 U.S.C. §§ 1861-1862","Search policies, Record-keeping, Terrorism/Post 9-11 issues, Records Disclosure"
13081,"In re Application of the Federal Bureau of Investigation for an Order Requiring the Production of Tangible Things from [redacted information] FISA Docket BR 09-13","Coding Complete","District of Columbia","Foreign Intelligence Surveillance Court","National Security","No","Foreign Intelligence Surveillance Act -- All Matters, Foreign Intelligence Surveillance Act -- Telephony Metadata, Foreign Intelligence Surveillance Court","FISA Title V order (PATRIOT Act § 215, business records or other tangible things), 50 U.S.C. §§ 1861-1862","Search policies, Record-keeping, Failure to supervise, Terrorism/Post 9-11 issues, Records Disclosure, Confidentiality, Failure to train"
18459,"Disabiltiy Rights North Carolina v. Frye","Coding Complete","North Carolina","Western District of North Carolina","Disability Rights","No",NULL,"Protection and Advocacy for Individuals with Mental Illness (PAIMI) Act, 42 U.S.C. § 10801","Mental impairment, P&A access authority, P&A Associational Standing"
43965,"DOJ Investigation of Alaska's Behavioral Health System for Children","Approved","Alaska","No Court","Disability Rights","Yes",NULL,"Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq.","Integrated setting, Juveniles, Least restrictive environment, Placement in mental health facilities, Medical care, general, Mental health care, general, Intellectual disability/mental illness dual diagnosis, Disability, unspecified, Mental Illness, Unspecified, Medical care, unspecified, Mental health care, unspecified, Medicaid, Intellectual/Developmental Disability, Public benefits (includes, e.g., in-state tuition, govt. jobs), Disability (inc. reasonable accommodations), Mental impairment, Deinstitutionalization/decarceration, Developmental disability without intellectual disability, Intellectual/developmental disability, unspecified, Access to public accommodations - governmental, Reasonable Modifications, Government services"
10310,"United States v. City of Dallas, Texas","Coding Complete","Texas","Northern District of Texas","Equal Employment","No","Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Race discrimination, Black, Retaliation, Disparate Treatment, Discipline, Promotion"
45722,"Carroll Independent School District v. United States Department of Education","Approved","Texas","Northern District of Texas","Education","Yes","Transgender Bathroom Access Cases","Administrative Procedure Act, 5 U.S.C. §§ 551 et seq.","LGBTQ+, Transgender"
18371,"Sonnenberg  v. Disability Rights Idaho","Approved","Idaho","District of Idaho","Disability Rights","No",NULL,"42 U.S.C. § 1983, Protection and Advocacy for Individuals with Mental Illness (PAIMI) Act, 42 U.S.C. § 10801","Mental impairment, P&A access authority, P&A Associational Standing"
44768,"Bill Nelson For US Senate v. Detzner","Coding Complete","Florida","Northern District of Florida","Election/Voting Rights","No","Law Firm Antiracism Alliance (LFAA) project",NULL,"Election administration, Voting: General & Misc."
10297,"Donelan v. City of Highland Heights","Coding Complete","Kentucky","Eastern District of Kentucky","Equal Employment","No","Multi-LexSum (in sample)","Uniformed Services Employment and Reemployment Rights Act (USERRA), 38 U.S.C. § 4301","Military status discrimination, Disparate Treatment, Pay / Benefits, Harassment / Hostile Work Environment, Discharge / Constructive Discharge / Layoff"
46074,"United Farm Workers v. The United States Department of Labor","Approved","California","Eastern District of California","Immigration and/or the Border","No","Trump 1.0 & 2.0 Immigration Enforcement Order Challenges","Administrative Procedure Act, 5 U.S.C. §§ 551 et seq., Immigration and Nationality Act (INA), 8 U.S.C. §§ 1101 et seq.","Employment"
10468,"United States v. Director Alabama Personnel Department","Approved","Alabama","Middle District of Alabama","Equal Employment","No","Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Seniority, Race discrimination, Black, White, Disparate Treatment, Pattern or Practice, Hiring, Testing, Promotion"
10348,"United States of America v. Regents of the University of California","Coding Complete","California","Eastern District of California","Equal Employment","No","IWPR/Wage Project Consent Decree Study, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Retaliation, Disparate Treatment, Harassment / Hostile Work Environment, Discharge / Constructive Discharge / Layoff"
6911,"EEOC v. O'REILLY AUTO PARTS, INC.","Coding Complete","Kansas","District of Kansas","Equal Employment","No","IWPR/Wage Project Consent Decree Study, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Pregnancy discrimination, Disparate Treatment, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits"
10469,"United States v. Jefferson County","Approved","Alabama","Northern District of Alabama","Equal Employment","Yes","Civil Rights Division Archival Collection, Multi-LexSum (in sample)","42 U.S.C. § 1981, Title VII (including PDA), 42 U.S.C.  § 2000e","Record-keeping, Seniority, Records Disclosure, Sex discrimination, Race discrimination, Black, Female, Retaliation, Disparate Impact, Disparate Treatment, Hiring, Testing, Training, Promotion"
15353,"Felix v. City of New York","Coding Complete","New York","Southern District of New York","Policing","No","Multi-LexSum (in sample)","42 U.S.C. § 1983, State law","Search policies, Excessive force, Failure to discipline, Failure to supervise, Failure to train, False arrest, Racial profiling, Pattern or Practice"
17722,"Z.M. v. Baker","Approved","South Carolina","District of South Carolina","Public Benefits/Government Services","No","Multi-LexSum (in sample)","42 U.S.C. § 1983, Medicaid, 42 U.S.C §1396 (Title XIX of the Social Security Act)","Medicaid, Public benefits (includes, e.g., in-state tuition, govt. jobs), Mental impairment, Government services"
8971,"EEOC v. LUCENT TECHNOLOGIES, INC.","Coding Complete","Arizona","District of Arizona","Equal Employment","No","EEOC Study — in sample",NULL,"Disparate Treatment, Direct Suit on Merits"
350,"CRIPA Investigation, Miles City (MT)","Coding Complete","Montana","No Court","Juvenile Institution","No","Civil Rights Division Archival Collection","Civil Rights of Institutionalized Persons Act (CRIPA), 42 U.S.C. § 1997 et seq.","Suicide prevention (facilities), Disciplinary segregation, Disciplinary procedures, Staff (number, training, qualifications, wages), Sanitation / living conditions, Mail, Phone, Fire safety, Medical care, general, Medication, administration of, Mental health care, general, Male, Bathing and hygiene"
15358,"Johnson v. Wetzel","Approved","Pennsylvania","Middle District of Pennsylvania","Prison Conditions","No","Solitary confinement, Multi-LexSum (in sample)","42 U.S.C. § 1983","Solitary confinement/Supermax (conditions or process)"
15359,"Lambert v. Alexander County Housing Authority","Approved","Illinois","Southern District of Illinois","Public Housing","No","Multi-LexSum (in sample)","42 U.S.C. § 1983, Fair Housing Act/Fair Housing Amendments Act (FHAA), 42 U.S.C. §§ 3601 et seq., State law, Title VI, Civil Rights Act of 1964, 42 U.S.C. § 2000d et seq.","Sanitation / living conditions, Racial segregation, Race discrimination, Black, Family discrimination, Disparate Impact, Disparate Treatment, Pattern or Practice, Housing Sales/Rental, Buildings, Housing"
14122,"Hale v. Jefferson County","Coding Complete","Alabama","Alabama state trial court","Jail Conditions","No",NULL,"State law","Funding"
14961,"United States v. City of Philadelphia","Approved","Pennsylvania","Eastern District of Pennsylvania","Policing","No","Civil Rights Division Archival Collection","42 U.S.C. § 1985","Failure to discipline, Failure to supervise, Race discrimination, Black, Disparate Impact, Pattern or Practice"
17635,"Voto Latino Foundation v. Hobbs","Approved","Arizona","District of Arizona","Election/Voting Rights","No reason to think so","COVID-19 (novel coronavirus), Multi-LexSum (in sample)","42 U.S.C. § 1983, Voting Rights Act, section 2, 52 U.S.C. § 10301 (previously 42 U.S.C. § 1973), Declaratory Judgment Act, 28 U.S.C. § 2201","Mitigation Requested, Race discrimination, Hispanic, Election administration, Voter qualifications, Voter registration rules, Voting: General & Misc."
8551,"EEOC v. Amertac Holdings, Inc.","Coding Complete","New York","Southern District of New York","Equal Employment","No","EEOC Study — in sample","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Retaliation, Disparate Treatment, Harassment / Hostile Work Environment, Direct Suit on Merits, Private Party intervened in EEOC suit, No EEOC Final Resolution Type"
15361,"Greiman v. Hodges","Approved","Iowa","Southern District of Iowa","Criminal Justice (Other)","No","Multi-LexSum (in sample), Juvenile Parole","42 U.S.C. § 1983","Juveniles, Parole grant/revocation"
45216,"Jane Doe v. Cameron","Approved","Kentucky","Kentucky state trial court","Healthcare Access and Reproductive Issues","No",NULL,"State law","Abortion, Reproductive health care (including birth control, abortion, and others), Time-based abortion prohibition, Complete abortion ban, Cardiac activity legislation, Criminalization"
5556,"Presley v. Epps","Coding Complete","Mississippi","Northern District of Mississippi","Prison Conditions","No","Solitary confinement, Strip Search Cases, Multi-LexSum (in sample)","42 U.S.C. § 1983","Suicide prevention (facilities), Administrative segregation, Disciplinary segregation, Search policies, Sanitation / living conditions, Recreation / Exercise, HIV/AIDS, Dental care, Medical care, general, Mental health care, general, Suicide prevention, Strip search policy (facilities), Solitary confinement/Supermax (conditions or process), Religious programs / policies, Totality of conditions, Education, Male, Restraints (chemical), Restraints (physical), Bathing and hygiene, Assault/abuse by non-staff (facilities)"
5910,"EEOC v. NEW PALACE CASINO LLC","Coding Complete","Mississippi","Southern District of Mississippi","Equal Employment","No","EEOC Study — in sample","Title VII (including PDA), 42 U.S.C.  § 2000e","Disparate Treatment, Direct Suit on Merits, Private Party intervened in EEOC suit"
18414,"National Federation of the Blind v. Lamone","Approved","Maryland","District of Maryland","Disability Rights","No",NULL,"Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701","Disability, unspecified, Disability (inc. reasonable accommodations), Election administration, Voter qualifications"
135,"CRIPA Investigation, Washington County (MD)","Coding Complete","Maryland","No Court","Jail Conditions","No",NULL,"Civil Rights of Institutionalized Persons Act (CRIPA), 42 U.S.C. § 1997 et seq.","Crowding (General), Suicide prevention (facilities), Classification / placement, Food service / nutrition / hydration, Sanitation / living conditions, Recreation / Exercise, Access to lawyers or judicial system, Medical care, general, Suicide prevention"
