lower_court,count,first_case_num,cl_court_id,cl_court_name,manual,manual_type,auto_type,type
United States District Court for the Eastern District of Pennsylvania,7,"01-CV-1303, 01-CV-1322",paed,"District Court, E.D. Pennsylvania",0,,Federal District,Federal District
United States District Court for the Eastern District of New York,7,1:16-cr-00528-HBP-1,nyed,"District Court, E.D. New York",0,,Federal District,Federal District
"Court of Appeals of Ohio, Warren County",7,CA2019-07-074,,,1,State Trial,#N/A,State Trial
United States District Court for the District of Arizona,7,CV-12-01211-PHX-PGR-MMS-GMS,azd,United States District Court for the District of Arizona,0,,Federal District,Federal District
Supreme Court of the Commonwealth of the Northern Mariana Islands,7,02-033-GA,nmariana,Supreme Court of The Commonwealth of The Northern Mariana Islands,1,,Territory Supreme,Territory Supreme
"Court of Appeals of Ohio, Allen County",7,01-03-07,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Ware County",7,10-V-0891,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Jefferson County",7,01-JE-16,,,1,State Trial,#N/A,State Trial
"Superior Court of Arizona, Mohave County",6,s-8015-CR-0096000503,,,1,State Trial,#N/A,State Trial
"Superior Court of New Hampshire, Rockingham County",6,01-C-0941,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Ashtabula County",6,2002-A-0043,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Kent County",6,98-005663-FC,,,1,State Trial,#N/A,State Trial
United States District Court for the Western District of Michigan,6,1:22-cv-54,miwd,"District Court, W.D. Michigan",0,,Federal District,Federal District
"Circuit Court of West Virginia, Berkeley County",6,08-F-159,,,1,State Trial,#N/A,State Trial
United States District Court for the Western District of Missouri,6,2:11-cv-4060,mowd,"District Court, W.D. Missouri",0,,Federal District,Federal District
United States District Court for the Western District of Louisiana,6,3:24-cv-00122-DCJ-CES-RRS,lawd,"District Court, W.D. Louisiana",0,,Federal District,Federal District
"Superior Court of Georgia, Richmond County",6,1996-RCCR-971,,,1,State Trial,#N/A,State Trial
"Appellate Division, Superior Court of California, Orange County",6,30-2021-01216615,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Champaign County",6,2014-CA-29,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Clark County",6,03-CA-0004,,,1,State Trial,#N/A,State Trial
"Circuit Court of Maryland, Harford County",6,12-K-92-0088,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Muskegon County",6,96-139261-FC,,,1,State Trial,#N/A,State Trial
"Superior Court of Washington, King County",6,04-2-06115-6SEA,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Licking County",6,15-CA-98,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Macon County",6,2001-416,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Medina County",6,19CA0049-M,,,1,State Trial,#N/A,State Trial
United States District Court for the Northern District of Illinois,6,1:04-cv-04698,ilnd,"District Court, N.D. Illinois",0,,Federal District,Federal District
"Circuit Court of West Virginia, Jefferson County",5,03-C-215,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Macomb County",5,2002-1036-AR,,,1,State Trial,#N/A,State Trial
"District Court of Colorado, Denver County",5,02CV6970,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Kalamazoo County",5,17197-FC,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Mercer County",5,03-F-08-S,,,1,State Trial,#N/A,State Trial
United States District Court for the Middle District of Florida,5,3:10-cr-23,flmd,United States District Court for the Middle District of Florida,0,,Federal District,Federal District
"Superior Court of North Carolina, Wake County",5,05-CRS-49161-49166,,,1,State Trial,#N/A,State Trial
"District Court of Iowa, Woodbury County",5,AGCR107672,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of South Carolina, Greenville County",5,2010-CP-23-9792,,,1,State Trial,#N/A,State Trial
"Superior Court of New Hampshire, Hillsborough County, Southern District",5,"95-E-0423, 96-C-0005, 99-C-0194, 02-C-0009",,,1,State Trial,#N/A,State Trial
United States District Court for the Southern District of Texas,5,L-03-113,txsd,"District Court, S.D. Texas",0,,Federal District,Federal District
United States District Court for the Northern District of Georgia,5,1:03-CV-693-CAP,gand,United States District Court for the Northern District of Georgia,0,,Federal District,Federal District
"Circuit Court of Maryland, Anne Arundel County",5,45063,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of South Carolina, Richland County",5,1999-CP-40-2381,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of South Carolina, Orangeburg County",5,00-CP-38-299,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Telfair County",5,04CV488,,,1,State Trial,#N/A,State Trial
"Supreme Court of New York, Kings County",5,11196/88,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Morgan County",5,09AP-900,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Erie County",5,"E-05-044, E-05-066",,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Tuscarawas County",5,2006AP070041,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Belmont County",5,98-BA-52,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Ross County",5,17CA3607,,,1,State Trial,#N/A,State Trial
"Appellate Division, Superior Court of California, San Diego County",4,CA263754,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Calhoun County",4,2005-v-032,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Edgecombe County",4,86-CRS-5970,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Saginaw County",4,90-003452-FC-5,,,1,State Trial,#N/A,State Trial
United States District Court for the Northern District of California,4,"20-CV-05167-RRC-LHK-EMC, 20-CV-05169-RRC-LHK-EMC",cand,United States District Court for the Northern District of California,0,,Federal District,Federal District
"Court of Appeals of Ohio, Scioto County",4,05CA3002,,,1,State Trial,#N/A,State Trial
United States District Court for the Eastern District of California,4,1:02-CV-6135,caed,United States District Court for the Eastern District of California,0,,Federal District,Federal District
"Court of Appeals of Ohio, Columbiana County",4,19 CO 0010,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Knox County",4,01CA05,,,1,State Trial,#N/A,State Trial
"Superior Court of New Hampshire, Strafford County",4,99-S-0584,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Jackson County",4,99-F-51,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Cumberland County",4,86 CRS 53729,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Rockingham County",4,88CRS1742-43,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Mecklenburg County",4,78 CRS 114471,,,1,State Trial,#N/A,State Trial
United States District Court for the Southern District of California,4,17-cv-1215,casd,United States District Court for the Southern District of California,0,,Federal District,Federal District
"Superior Court of North Carolina, Catawba County",4,"91-CRS-7871, 7872",,,1,State Trial,#N/A,State Trial
"District Court of Colorado, Adams County",4,2017 CV 30021,,,1,State Trial,#N/A,State Trial
"District Court of Colorado, Arapahoe County",4,02-CV-4612,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Crawford County",4,3-10-19,,,1,State Trial,#N/A,State Trial
"Circuit Court of Maryland, Montgomery County",4,5597-D,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Cobb County",4,03-1-6179-34,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Wayne County",4,04CA0043,,,1,State Trial,#N/A,State Trial
"Supreme Court of New York, Suffolk County",4,02464-2009,,,1,State Trial,#N/A,State Trial
United States District Court for the District of Utah,4,2:01CV292G,utd,"District Court, D. Utah",0,,Federal District,Federal District
"Court of Appeals of Ohio, Ashland County",4,02 COA 028,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Washington County",4,03CA3,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Highland County",4,18CA0011,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Washtenaw County",4,10-002236,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Jackson County",4,03-000625-FH,,,1,State Trial,#N/A,State Trial
"Superior Court of Massachusetts, Middlesex County",4,94280-94283,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Hancock County",3,03HC-0002,,,1,State Trial,#N/A,State Trial
United States District Court for the District of Hawaii,3,12-00184,hid,United States District Court for the District of Hawaii,0,,Federal District,Federal District
"District Court of Colorado, Weld County",3,14CV3115,,,1,State Trial,#N/A,State Trial
United States District Court for the Western District of Washington,3,3:22-cv-05152-RSLDGE-LJCV,wawd,"District Court, W.D. Washington",0,,Federal District,Federal District
"Appellate Term of the Supreme Court of New York, 2nd & 11th Jud. Dist.",3,2000-1596,nyappterm,Appellate Terms of the Supreme Court of New York,0,,State Appellate,State Appellate
"Family Court of West Virginia, Cabell County",3,99-D-17,,,1,State Trial,#N/A,State Trial
Orleans Parish Criminal District Court of Louisiana,3,280-729,,,1,State Trial,#N/A,State Trial
"Supreme Court of New York, Bronx County",3,251498/16,,,1,State Trial,#N/A,State Trial
"District Court of Wyoming, Sheridan County",3,2016-242,,,1,State Trial,#N/A,State Trial
Superior Court of District of Columbia,3,"2021 SC3 441, 462, 483, 484, 485, 561, 655",,,1,State Trial,#N/A,State Trial
"Supreme Court of New York, Appellate Term, First Judicial Department",3,570516/22,nyappterm,Appellate Terms of the Supreme Court of New York,0,,State Appellate,State Appellate
"Circuit Court of West Virginia, Monongalia County",3,02-C-346,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Wood County",3,01-F-112,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Wyoming County",3,07-C-35-M,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Moore County",3,"01 CRS 14, 01 CRS 15, O1 CRS 8169",,,1,State Trial,#N/A,State Trial
United States District Court for the Southern District of West Virginia,3,2:11-CV-0989,wvsd,"District Court, S.D. West Virginia",0,,Federal District,Federal District
"Superior Court of North Carolina, Iredell County",3,92-CRS-1195,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Guilford County",3,92 CRS 44916,,,1,State Trial,#N/A,State Trial
United States District Court for the District of Colorado,3,03-cv-02453-ZLW-CBS,cod,United States District Court for the District of Colorado,0,,Federal District,Federal District
"Appellate Division, Superior Court of California, San Francisco County",3,149975,,,1,State Trial,#N/A,State Trial
"Supreme Court of New York, Kings County - Civil Term",3,1467/85,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Roane County",3,01-M-1,,,1,State Trial,#N/A,State Trial
"District Court of New Mexico, Valencia County",3,D-1314-CR-2004-00065,,,1,State Trial,#N/A,State Trial
"Appellate Division, Superior Court of California, San Bernardino County",3,ACRAS 1400140,,,1,State Trial,#N/A,State Trial
Indiana Tax Court,3,49T10-0009-TA-98,indtc,Indiana Tax Court,0,,State Special,State Special
"County Court of New York, Chemung County",3,JC 2481,nychemungctyct,Chemung County Court,0,,State Trial,State Trial
"Circuit Court of West Virginia, Putnam County",3,03-C-119,,,1,State Trial,#N/A,State Trial
"Appellate Division, Superior Court of California, Sacramento County",3,97M12758,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Pitt County",3,"92 CRS 9745, 92 CRS 18759",,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Washington County",3,01-CV-249,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Charlton County",3,2002-SU-CV-294,,,1,State Trial,#N/A,State Trial
United States District Court for the Southern District of Florida,3,1:08-cv-23250,flsd,United States District Court for the Southern District of Florida,0,,Federal District,Federal District
"Circuit Court of West Virginia, Harrison County",3,03-C-66-2,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Marion County",3,09-04-36,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Fayette County",3,02F98,,,1,State Trial,#N/A,State Trial
"Superior Court of Arizona, Pinal County",3,S1100CR11043,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Coshocton County",3,07-CA-16,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Pickaway County",3,05CA25,,,1,State Trial,#N/A,State Trial
"Circuit Court of Michigan, Berrien County",3,2003 402881 FC,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of South Carolina, Abbeville County",3,2011-CP-01-110,,,1,State Trial,#N/A,State Trial
United States District Court for the Eastern District of Arkansas,3,4:18-cv-00116-KGB,ared,United States District Court for the Eastern District of Arkansas,0,,Federal District,Federal District
"Superior Court of Georgia, Muscogee County",3,"48573, 48937",,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Sandusky County",3,S-84-29,,,1,State Trial,#N/A,State Trial
Court of Appeals of Ohio Clark County,3,2010-CA-87,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Clermont County",3,CA2006-10-090,,,1,State Trial,#N/A,State Trial
"Superior Court of Rhode Island, Providence County",3,01-4153,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Madison County",3,CA200010048,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Chatham County",3,CV10-1090-KA,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of South Carolina, Aiken County",3,98CP021323,,,1,State Trial,#N/A,State Trial
United States District Court for the Northern District of Mississippi,3,3:09-cv-00104,msnd,"District Court, N.D. Mississippi",0,,Federal District,Federal District
"178th District Court of Texas, Harris County",3,"WR-59, 481-04",,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Buncombe County",3,"96CRS54809, 96CRS6111",,,1,State Trial,#N/A,State Trial
"Circuit Court of Florida, Miami-Dade County",3,2013-000394-AP-01,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Guernsey County",3,15 CA 19,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Stanly County",3,91 CRS 2646,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Lawrence County",3,19CA13,,,1,State Trial,#N/A,State Trial
"Superior Court of New Jersey, Atlantic County, Chancery Division",3,22-07-1039-I,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Dekalb County",3,21-CV-1415-3,,,1,State Trial,#N/A,State Trial
"Circuit Court of Kentucky, Fayette County",3,91-P-1247,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Delaware County",3,04CAA07052,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of South Carolina, Sumter County",3,97-CP-43-545,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of South Carolina, Spartanburg County",3,95-CP-42-0014,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Lincoln County",3,99-C-86,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Harnett County",2,"97 CRS 737, 738, 1006, 1",,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Chattooga County",2,"2012 CA 38, 376",,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Rockdale County",2,2023-CV-1780,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Clayton County",2,2003CR00753-6,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Richmond County",2,"95CRS4226, 27",,,1,State Trial,#N/A,State Trial
"Superior Court of Washington, Adams County",2,03 2 00149 3,,,1,State Trial,#N/A,State Trial
"Superior Court of Massachusetts, Suffolk County",2,SUCR1976-01539,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Surry County",2,"90-CRS-3642, 90-CRS-3643",,,1,State Trial,#N/A,State Trial
"Superior Court of Arizona, Yavapai County",2,CR 995 0373,,,1,State Trial,#N/A,State Trial
"Superior Court of New Hampshire, Cheshire County",2,213-2020-CV-00191,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Montgomery County",2,09-CV-266,,,1,State Trial,#N/A,State Trial
"Superior Court of New Hampshire, Coos County",2,03-E-37,,,1,State Trial,#N/A,State Trial
Superior Court of California Ventura County,2,2010021861,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Davidson County",2,03CRS 1172-1173,,,1,State Trial,#N/A,State Trial
"Supreme Court 3rd Judicial District of New York, Albany County",2,7541-08,,,1,State Trial,#N/A,State Trial
"Superior Court of California, Orange County",2,03 CC 10166,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Madison County",2,04-MV-584-H,,,1,State Trial,#N/A,State Trial
"Superior Court of Georgia, Jackson County",2,98-cr-0036,,,1,State Trial,#N/A,State Trial
"Superior Court of New Jersey, Middlesex County",2,L-9012-07,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Anson County",2,"86 CrS 4071, 87 CrS 1217",,,1,State Trial,#N/A,State Trial
"Superior Court of New Hampshire, Merrimack County",2,08-E-0035,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Mercer County",2,10-09-12,,,1,State Trial,#N/A,State Trial
"Supreme Court of New York, Erie County",2,1998/10118,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Auglaize County",2,02-04-26,,,1,State Trial,#N/A,State Trial
"County Court of New York, Genesee County",2,4639,nygenessctyct,Genesee County Court,0,,State Trial,State Trial
Civil District Court of Orleans Parish,2,2005-11660,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Wayne County",2,03-F-079,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Preston County",2,04-C-206,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Morgan County",2,07-F-73,,,1,State Trial,#N/A,State Trial
United States District Court for the District of Massachusetts,2,02-10428,mad,"District Court, D. Massachusetts",0,,Federal District,Federal District
United States District Court for the District of Minnesota,2,0:10-cv-02938,mnd,"District Court, D. Minnesota",0,,Federal District,Federal District
"Circuit Court of West Virginia, Braxton County",2,95-F-23,,,1,State Trial,#N/A,State Trial
"Supreme Court of New York, Kings County - Criminal Term",2,IND # 7293/2006,,,1,State Trial,#N/A,State Trial
Circuit Court of West Virginia Putnam County,2,00-F-72,,,1,State Trial,#N/A,State Trial
"Circuit Court of Virginia, City of Richmond",2,LL594,,,1,State Trial,#N/A,State Trial
United States District Court for the District of New Jersey,2,01-2024,njd,"District Court, D. New Jersey",0,,Federal District,Federal District
Circuit Court of Virginia Henrico County,2,CH99-01468-00,,,1,State Trial,#N/A,State Trial
"Circuit Court of Tennessee, Davidson County",2,21D-825,,,1,State Trial,#N/A,State Trial
United States District Court for the Eastern District of Louisiana,2,2:06-cv-07185,laed,United States District Court Eastern District of Louisiana,0,,Federal District,Federal District
United States District Court for the Eastern District of North Carolina,2,2:07-CV-00051-FL-AD-RC,nced,"District Court, E.D. North Carolina",0,,Federal District,Federal District
United States District Court for the Middle District of Tennessee,2,06-632,tnmd,"District Court, M.D. Tennessee",0,,Federal District,Federal District
"Circuit Court of Maryland, Queen Anne's County",2,4789,,,1,State Trial,#N/A,State Trial
"Circuit Court of Maryland, Frederick County",2,C-10-CV-20-564,,,1,State Trial,#N/A,State Trial
"Circuit Court of Maryland, Allegany County",2,3164-3169,,,1,State Trial,#N/A,State Trial
United States District Court for the Northern District of Texas,2,3:08-CV-2117-P,txnd,"District Court, N.D. Texas",0,,Federal District,Federal District
"Circuit Court of Florida, Palm Beach County",2,502003AP001685XXCCAY,,,1,State Trial,#N/A,State Trial
"Circuit Court of Alabama, Mobile County",2,CC-1985-001385.80,,,1,State Trial,#N/A,State Trial
United States District Court for the Southern District of Georgia,2,CV409-130,gasd,United States District Court for the Southern District of Georgia,0,,Federal District,Federal District
"Appellate Department, Superior Court of California, Santa Barbara County",2,1471799,,,1,State Trial,#N/A,State Trial
"3rd District Court of Texas, Anderson County",2,22753,,,1,State Trial,#N/A,State Trial
"38th Judicial District Court of Louisiana, Cameron Parish",2,10-19582,,,1,State Trial,#N/A,State Trial
United States District Court for the Western District of Wisconsin,2,15-cv-421-bbc,wiwd,"District Court, W.D. Wisconsin",0,,Federal District,Federal District
"184th District Court of Texas, Harris County",2,941969,,,1,State Trial,#N/A,State Trial
"County Court of New York, Ulster County",2,051-04,nyulsterctyct,Ulster County Court,0,,State Trial,State Trial
"Circuit Court of West Virginia, Boone County",2,01-C-124,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Martin County",2,83-CRS-920-922,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of Pennsylvania, Butler County",2,A.D. No. 2020-10334,,,1,State Trial,#N/A,State Trial
"District Court of Louisiana, East Baton Rouge Parish",2,"462, 218",,,1,State Trial,#N/A,State Trial
"District Court of Iowa, Scott County",2,NTWG 806359,,,1,State Trial,#N/A,State Trial
"District Court of Iowa, Polk County",2,FECR 182583,,,1,State Trial,#N/A,State Trial
"District Court of Colorado, Saguache County",2,2022CV1,,,1,State Trial,#N/A,State Trial
"District Court of Nebraska, Lancaster County",2,CI 19-3861,,,1,State Trial,#N/A,State Trial
"District Court of Colorado, Pitkin County",2,2015CV30044,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Defiance County",2,04-02-01,,,1,State Trial,#N/A,State Trial
"District Court of Colorado, Larimer County",2,01CV878,,,1,State Trial,#N/A,State Trial
"District Court of  Colorado, Broomfield County",2,2003CV68,,,1,State Trial,#N/A,State Trial
"District Court of Nevada, Clark County",2,A435066,,,1,State Trial,#N/A,State Trial
"Criminal District Court No.1 of Dallas County, Texas",2,F-0152159-H,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of South Carolina, Greenwood County",2,94-CP-24-279,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of South Carolina, Cherokee County",2,2005-CP-11-667,,,1,State Trial,#N/A,State Trial
"Court of Common Pleas of Pennsylvania, Luzerne County",2,490 of 1984,,,1,State Trial,#N/A,State Trial
"District Court of Louisiana, 4th Judicial District, Ouachita Parish",2,"35, 583",,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Greene County",2,2011-CA-17,,,1,State Trial,#N/A,State Trial
Court of Appeals of Puerto Rico,2,KLAN202400070,prapp,Tribunal De Apelaciones De Puerto Rico/Court of Appeals of Puerto Rico,1,,Territory Appellate,Territory Appellate
"Court of Appeals of Ohio, Wood County",2,"WD-19-021, WD-19-022",,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Union County",2,14-12-09,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Seneca County",2,13-02-46,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Hancock County",2,05-18-14,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Hocking County",2,"11CA29, 11CA32, 12CA2, 12CA11, 12CA12, 12CA19",,,1,State Trial,#N/A,State Trial
"District Court of New Mexico, Otero County",2,A-1-CA-38086,,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Logan County",2,"8-19-52, 8-19-53",,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Preble County",2,CA2019-02-002,,,1,State Trial,#N/A,State Trial
United States District Court for the Western District of Oklahoma,1,5:12-cv-00140,okwd,"United States District Court, Oklahoma Western",0,,Federal District,Federal District
"Supreme Court of New York, Queens County",1,1395-2002,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Rutherford County",1,05 CRS 50129,,,1,State Trial,#N/A,State Trial
United States District Court for the Northern District of West Virginia,1,3:01cv75,wvnd,"District Court, N.D. West Virginia",0,,Federal District,Federal District
United States District Court for the Southern District of Alabama,1,1:13-cv-00521-CG-C,alsd,United States District Court for the Southern District of Alabama,0,,Federal District,Federal District
"Supreme Court of New York, Nassau County",1,93053,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, New Hanover County",1,"96-CRS-15621, 96-CRS-15622, 96-CRS-15623",,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Nash County",1,"93 CRS 14709, 14711",,,1,State Trial,#N/A,State Trial
"Supreme Court of New York, Richmond County",1,270/2009,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Randolph County",1,"92 CRS 8374, 8375",,,1,State Trial,#N/A,State Trial
United States District Court for the Southern District of Illinois,1,3:07-cv-00357,ilsd,"District Court, S.D. Illinois",0,,Federal District,Federal District
"Superior Court of North Carolina, Onslow County",1,07CRS55796,,,1,State Trial,#N/A,State Trial
United States District Court for the Southern District of Indiana,1,03-3819,insd,"District Court, S.D. Indiana",0,,Federal District,Federal District
"Superior Court of North Carolina, Sampson County",1,94 CRS 7958-7959,,,1,State Trial,#N/A,State Trial
United States District Court for the Western District of New York,1,1:08-CR-382,nywd,"District Court, W.D. New York",0,,Federal District,Federal District
"Supreme Court of New York, Washington County",1,57-1-2002-0300,,,1,State Trial,#N/A,State Trial
United States Bankruptcy Appellate Panel for the 10th Circuit,1,No. 24-12,bap10,Bankruptcy Appellate Panel of the Tenth Circuit,1,,Federal Bankruptcy Panel,Federal Bankruptcy Panel
United States District Court for the Northern District of Oklahoma,1,4:08-cv-00278,oknd,"United States District Court, Oklahoma Northern",0,,Federal District,Federal District
United States District Court for the Northern District of Ohio,1,1:15-cv-00947,ohnd,"District Court, N.D. Ohio",0,,Federal District,Federal District
United States District Court for the District of Connecticut,1,3:12-cv-1299,ctd,United States District Court for the District of Connecticut,0,,Federal District,Federal District
"Superior Court of Washington, Okanogan County",1,04-2-00244-5,,,1,State Trial,#N/A,State Trial
"Superior Court of Washington, Clallam County",1,10-2-00364-1,,,1,State Trial,#N/A,State Trial
United States District Court for the District of Idaho,1,3:11-cv-00588,idd,United States District Court for the District of Idaho,0,,Federal District,Federal District
United States District Court for the District of Maine,1,1:10-cv-330,med,"District Court, D. Maine",0,,Federal District,Federal District
"Superior Court of Puerto Rico, Centro Judicial de San Juan",1,SJ2020CV00581,,,1,State Trial,#N/A,State Trial
United States District Court for the District of Nebraska,1,"4:09-cv-3193, 4:07-cr-3005",ned,"United States District Court, Nebraska",0,,Federal District,Federal District
United States District Court for the District of Nevada,1,3:06-cv-00545,nvd,"District Court, D. Nevada",0,,Federal District,Federal District
United States District Court for the District of New Hampshire,1,1:08-cr-00094,nhd,"District Court, D. New Hampshire",0,,Federal District,Federal District
United States District Court for the District of North Dakota,1,1:22-cv-00031-PDW-RRE-DLH,ndd,"District Court, D. North Dakota",0,,Federal District,Federal District
United States District Court for the District of South Dakota,1,02-5069,sdd,"District Court, D. South Dakota",0,,Federal District,Federal District
"Superior Court of North Carolina, Wilson County",1,17 CVS 01665,,,1,State Trial,#N/A,State Trial
United States District Court for the District of Wyoming,1,14-cv-21-SWS,wyd,"District Court, D. Wyoming",0,,Federal District,Federal District
United States District Court for the District of the Virgin Islands,1,09-bk-10002,vid,"District Court, Virgin Islands",0,,Federal District,Federal District
"Superior Court of North Carolina, Stokes County",1,03 CRS 052406,,,1,State Trial,#N/A,State Trial
United States District Court for the Northern District of Florida,1,"4:14-cv-107, 4:14-cv-138",flnd,United States District Court for the Northern District of Florida,0,,Federal District,Federal District
United States District Court for the Northern District of Iowa,1,03-CR-4113,iand,"District Court, N.D. Iowa",0,,Federal District,Federal District
United States District Court for the Middle District of Louisiana,1,3:13-cv-00368,lamd,"District Court, M.D. Louisiana",0,,Federal District,Federal District
"139th District Court of Texas, Hidalgo County",1,C-0998-12-C,,,1,State Trial,#N/A,State Trial
"Superior Court of North Carolina, Lenoir County",1,"11 CRS 52845, 52816",,,1,State Trial,#N/A,State Trial
"Court of Appeals of Ohio, Pike County",1,02CA684,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Nicholas County",1,05-C-195,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Mineral County",1,05-C-17,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Marshall County",1,03-F-39,,,1,State Trial,#N/A,State Trial
"Circuit Court of West Virginia, Logan County",1,04-C-84,,,1,State Trial,#N/A,State Trial
