court_name,count
Indiana Circuit Court,1
Indiana County Court of Common Pleas,48
Indiana County Court of Quarter Sessions,2
Indiana County Orphans' Court,3
Indiana Court of Appeals,70353
Indiana Super. Ct.,92
Indiana Supreme Court,49937
Indiana Tax Court,827
Indian River County Circuit Court,12
Indian River County Court,4
Int. Ct. of App. of W.Va.,777
Irondequoit Justice Court,3
Isle of Wight County Circuit Court,9
Ithaca City Court,28
Jackson Circuit Court,2
"Jackson County Circuit Court, Oregon",9
Jackson County Court,1
Jackson County Court of Common Pleas,8
Jackson County Probate Court,4
Jacksonville Civil Service Board,1
Jamestown City Court,6
Jefferson Circuit Court,1
Jefferson County Court,11
Jefferson County Court of Common Pleas,123
Jefferson County Court of Oyer and Terminer,1
Jefferson County Court of Quarter Sessions,13
Jefferson County Orphans' Court,8
Jefferson County Probate Court,1
"Josephine County Circuit Court, Oregon",3
Judicial Council of The Eighth Circuit,2
Judicial Council of The Fifth Circuit,1
Judicial Council of The Ninth Circuit,11
Judicial Council of The Second Circuit,1
Judicial Council of The Seventh Circuit,1
Judicial Discipline of Pennsylvania,120
Judicial Panel on Multidistrict Litigation,998756
Juniata County Court of Common Pleas,28
Juniata County Court of Oyer and Terminer,2
Juniata County Court of Quarter Sessions,9
Juniata County Orphans' Court,2
Justice Court of Town of Bedford,1
Justice Court of Town of Greenburgh,21
Kansas Attorney General Reports,1193
Kensington Village Court,5
Kentucky Supreme Court,8446
Kettering Municipal Court,6
Kinderhook Justice Court,3
King George County Circuit Court,25
Kingsbury Justice Court,1
Kings County Court,38
Kings Criminal Court,60
Kings Family Court,68
Kings Point Justice Court,2
Kings Surrogate's Court,6
Kingston City Court,2
King William County Circuit Court,7
"Klamath County Circuit Court, Oregon",2
Knox County Circuit Court,19
Knox County Court of Common Pleas,25
Knox County Probate Court,1
Lackawanna City Court,1
Lackawanna County Court of Common Pleas,966
Lackawanna County Court of Oyer and Terminer,9
Lackawanna County Court of Quarter Sessions,69
Lackawanna County Orphans' Court,50
LaGrange Justice Court,2
Lake County Circuit Court,111
"Lake County Circuit Court, Oregon",1
Lake County Court,5
Lake County Court of Common Pleas,59
Lake County Judge's Court,2
Lake County Probate Court,7
Lakewood Municipal Court,13
Lancaster County Circuit Court,47
Lancaster County Court of Common Pleas,909
Lancaster County Court of Oyer and Terminer,1
Lancaster County Court of Quarter Sessions,111
Lancaster County Orphans' Court,98
Lancaster Municipal Court,1
"Lane County Circuit Court, Oregon",8
Larchmont Justice Court,2
Larimer County District Court,1
Lattingtown Village Court,1
Lawrence Circuit Court,7
Lawrence County Common Pleas Court,21
Lawrence County Court of Common Pleas,620
Lawrence County Court of Oyer and Terminer,5
Lawrence County Court of Quarter Sessions,29
Lawrence County Municipal Court,1
Lawrence County Orphans' Court,17
Lebanon County Court of Common Pleas,234
Lebanon County Court of Oyer and Terminer,2
Lebanon County Court of Quarter Sessions,18
Lebanon County Orphans' Court,12
Leech Lake Band of Ojibwe Tribal Court,4
Lee County Circuit Court,24
Lee County Court,6
Lee County Judge's Court,1
"Lee County Superior Court, Ga.",1
Lehigh County Court of Common Pleas,960
Lehigh County Court of Oyer and Terminer,4
Lehigh County Court of Quarter Sessions,67
Lehigh County Orphans' Court,66
Leon County Circuit Court,78
Leon County Court,3
Levy County Circuit Court,1
Lewis County Court,4
"Liberty County Superior Court, Ga.",2
Licking Circuit Court,73
Licking County Court of Common Pleas,179
Licking County Juvenile Court,1
Licking County Municipal Court,7
Licking County Probate Court,4
Lima Municipal Court,4
"Lincoln County Circuit Court, Oregon",4
"Lincoln County Superior Court, Ga.",1
Lindenhurst Justice Court,1
"Linn County Circuit Court, Oregon",3
Little River Band of Ottawa Indians Tribal Court,4
Little River Band of Ottawa Indians Tribal Court of Appeals,1
Little Traverse Bay Bands of Odawa Indians Tribal Appellate Court,35
"Livingston Circuit Court, Kentucky",1
Livingston County Court,4
Lloyd Harbor Village Police Court,5
Lockport Justice Court,4
Logan Circuit Court,31
Logan County Court of Common Pleas,17
Long Beach City Court,57
Lorain Circuit Court,109
Lorain County Court of Common Pleas,58
Lorain County Probate Court,1
Lorain Municipal Court,1
Loudoun County Circuit Court,569
Louisa County Circuit Court,13
Louisiana Attorney General Reports,7109
Louisiana Court of Appeal,127052
Louisiana Court of Errors and Appeals,21
Lowville Justice Court,1
Lucas Circuit Court,686
Lucas County Court of Common Pleas,219
Lucas County Juvenile Court,1
Lucas County Municipal Court,5
Lucas County Probate Court,11
Luzerne County Court of Common Pleas,906
Luzerne County Court of Oyer and Terminer,8
Luzerne County Court of Quarter Sessions,106
Luzerne County Orphans' Court,44
Lycoming County Court of Common Pleas,406
Lycoming County Court of Quarter Sessions,38
Lycoming County Orphans' Court,14
Lynbrook Justice Court,1
"Lynchburg Corporation Court, Va.",4
Lynchburg County Circuit Court,40
"Macon County Superior Court, Ga.",1
Madison Circuit Court,1
Madison County Circuit Court,25
Madison County Court,2
Madison County Court of Common Pleas,34
Madison County Probate Court,1
Mahoning Circuit Court,44
Mahoning County Court of Common Pleas,51
"Mahoning County Courts, Ohio",5
Mahoning County Probate Court,2
Maine Superior,5919
"Malheur County Circuit Court, Oregon",4
Mamaroneck Justice Court,2
Manatee County Circuit Court,4
Manatee County Court,6
Mansfield Municipal Court,1
Marion County Circuit Court,12
"Marion County Circuit Court, Oregon",20
Marion County Court,4
Marion County Court of Common Pleas,14
Marion County Juvenile Court,1
Marion County Municipal Court,8
Marion County Probate Court,5
"Marion County Superior Court, Ga.",1
Martin County Circuit Court,10
Martinsville County Circuit Court,21
Maryland Attorney General Reports,382
Maryland Chancery Ct,401
Marysville Municipal Court,1
Massachusetts,3
Massachusetts Appeals Court,16698
Massachusetts Appellate Tax Board,19
Massachusetts District Court,149
Massachusetts House of Representatives,248
Massachusetts Housing Court,4
Massachusetts Land Court,178
Massachusetts Probate and Family Court,3
Massachusetts Superior Court,7796
"Massachusetts Superior Court, Barnstable County",1
"Massachusetts Superior Court, Berkshire County",1
"Massachusetts Superior Court, Suffolk County",35
Massachusetts Supreme Judicial Court,63911
Massapequa Justice Court,1
Massapequa Park Justice Court,3
"Mass. Dist. Ct., App. Div.",6341
Massena City Police Court,1
Massillon Municipal Court,2
Mathews County Circuit Court,1
Maumee Municipal Court,2
Maybrook Police Court,1
McKean County Court of Common Pleas,27
McKean County Court of Quarter Sessions,2
M.D. Alabama,350438
M.D. Florida,1835018
M.D. Georgia,527544
M.D. Louisiana,141704
M.D. North Carolina,321221
M.D. Pennsylvania,420564
M.D. Tennessee,477192
Mecklenburg County Circuit Court,3
Medical Malpractice Review Panel,4
Medina Circuit Court,21
Medina County Court of Common Pleas,53
Medina Municipal Court,6
Meigs Circuit Court,4
Meigs County Court of Common Pleas,21
Meigs County Probate Court,3
Mendon Justice Court,3
Mercer Circuit Court,2
Mercer County Court of Common Pleas,587
Mercer County Court of Oyer and Terminer,1
Mercer County Court of Quarter Sessions,49
Mercer County Orphans' Court,25
Mercer County Probate Court,1
Mercer County Superior Court,11
Merit Systems Protection Board,7122
"Meriwether County Superior Court, Ga.",8
Meyer County District Court,1
Miami Beach Municipal Court,2
Miami Circuit Court,17
Miami County Court of Common Pleas,28
Miami County Probate Court,7
Miami-Dade County Circuit Court,859
Miami-Dade County Court,50
Miami Municipal Court,5
Miamisburg Municipal Court,4
Michigan Circuit Court,7
Michigan Court of Appeals,46745
Michigan Court of Chancery,188
"Michigan Superior Court, Detroit",9
"Michigan Superior Court, Grand Rapids",3
Michigan Supreme Court,92345
Middlesex County Circuit Court,1
Middlesex County Family Court,3
Middlesex County Superior Court,24
Middlesex County Surrogate's Court,3
Middletown City Court,13
Middletown Municipal Court,2
Mifflin County Court of Common Pleas,77
Mifflin County Court of Quarter Sessions,6
Mifflin County Orphans' Court,5
Military Commission Review,14
Millerton Village Court,1
Minnesota Attorney General Reports,109
Mississippi Chancery Courts,147
Mississippi Supreme Court,56298
Missouri Attorney General Reports,2563
Missouri Court of Appeals,101963
Mohegan Gaming Disputes Court of Appeals,11
Mohegan Gaming Disputes Trial Court,184
Mohegan Trial Court,35
Mohegan Tribal Court of Appeals,1
Mongtomery County Orphans' Court,1
"Monmouth County Circuit Court, N.J.",17
Monmouth County Superior Court,11
Monmouth County Surrogate's Court,3
Monroe Circuit Court,1
Monroe County Circuit Court,42
Monroe County Court,27
Monroe County Court of Common Pleas,774
Monroe County Court of Quarter Sessions,23
Monroe County Orphans' Court,7
Monroe Family Court,49
Monroe Justice Court,1
Monroe Surrogate's Court,23
Montana Supreme Court,50822
Montana Tax Appeal Board,2
Montclair Town Recorder's Court,1
Monterey District Court,1
Montgomery Circuit Court,7
Montgomery County Circuit Court,16
Montgomery County Court,30
Montgomery County Court of Common Pleas,1660
Montgomery County Court of Oyer and Terminer,20
Montgomery County Court of Quarter Sessions,227
Montgomery County Orphans' Court,401
Montgomery County Probate Court,55
Montgomery Family Court,1
Monticello Justice Court,2
Montour County Court of Common Pleas,62
Montour County Court of Quarter Sessions,19
Montour County Orphans' Court,2
Morgan Circuit Court,3
Morgan County Court of Common Pleas,8
Morgan County Probate Court,1
"Morris County Circuit Court, N.J.",9
Morris County Court of Quarter Sessions,1
Morris County Family Court,3
Morris County Superior Court,6
Morrow Circuit Court,10
"Morrow County Circuit Court, Oregon",3
Morrow County Court of Common Pleas,3
Morrow County Municipal Court,2
Mount Kisco Police Court,1
Mount Vernon City Court,77
"Multnomah County Circuit Court, Oregon",96
Municipal Court of The Virgin Islands,155
Municipal Court of Vandalia,4
Municipal Courts of New Jersey,1
Municipal Courts of Ohio,2
"Muscogee County Superior Court, Ga.",9
Muskingum Circuit Court,22
Muskingum County Court of Common Pleas,51
"Muskingum County Court, Ohio",4
Muskingum County Juvenile Court,2
Muskingum County Probate Court,7
Muttontown Justice Court,10
Nassau City Court,1
Nassau County Circuit Court,5
Nassau County Court,1
Nassau County District Court,665
Nassau Family Court,65
Navajo Nation Children's Court,1
Navajo Nation Ct. App.,178
Navajo Nation Family Court,16
Navajo Nation Supreme Court,532
Navy-Marine Corps Court of Criminal Appeals,3021
N.D. Alabama,905306
N.D. California,973306
N.D. Florida,556199
N.D. Georgia,1528185
N.D. Illinois,2084850
N.D. Indiana,546260
N.D. Iowa,163047
N.D. Mississippi,251233
N.D. New York,523808
N.D. Ohio,1257793
N.D. Oklahoma,219600
N.D. Texas,875875
N.D. West Virginia,135856
Nebraska Attorney General Reports,2621
Nebraska Court of Appeals,5948
Nebraska Supreme Court,63796
Nelson County Circuit Court,90
Nevada Supreme Court,33028
Newark Justice Court,5
Newark Municipal Court,2
Newburgh City Court,2
Newburgh Justice Court,5
Newburgh Recorder's Court,1
New Hampshire Committee of the Privy Council,1
New Jersey Circuit Court,80
New Jersey Court of Chancery,10837
New Jersey Court of Pardons,1
New Jersey Department of Labor Workmen's Compensation Bureau,696
New Jersey Family Court,1
New Jersey Lawyers and Bankers Conference Committee,1
New Jersey Public Utilities Commission,1
New Jersey Special Statutory Court,3
New Jersey Superior Court,5
New Jersey Superior Court App Division,44915
New Jersey Tax Court,1707
New Kent County Circuit Court,2
New Mexico Court of Appeals,13219
New Mexico Supreme Court,14174
New Paltz Justice Court,3
New Philadelphia Municipal Court,1
Newport News County Circuit Court,66
New Rochelle City Court,57
New Scotland Town Court,2
Newton Falls Municipal Court,2
New Windsor Justice Court,1
New York Attorney General Reports,2709
New York Circuit Court,98
"New York Circuit Court, Albany County",1
"New York Circuit Court, Columbia County",2
"New York Circuit Court, Delaware County",1
"New York Circuit Court, Dutchess County",1
"New York Circuit Court, Kings County",2
"New York Circuit Court, Oneida County",1
New York City Court,747
New York City Court of Special Sessions,5
New York City Magistrates' Court,252
"New York County Court, Columbia County",9
"New York County Court, Genesee County",5
"New York County Court, Onieda County",1
"New York County Court, Orange County",3
New York County Courts,5126
"New York County Court, Warren County",3
New York Court of Appeals,120456
New York Court of Assizes,8
New York Court of Chancery,3889
New York Court of Common Pleas,6830
New York Court of General Session of the Peace,1061
"New York Court of Session, Albany County",3
"New York Court of Session, Chautauqua County",2
New York Court of Sessions,28
"New York Court of Sessions, Genesee County",1
"New York Court of Sessions, Lewis County",1
"New York Court of Sessions, Orange County",1
"New York Court of Sessions, Queens County",3
"New York Court of Sessions, Rensselaer County",1
"New York Court of Sessions, Rockland County",1
"New York Court of Sessions, Ulster County",1
New York Court of Special Session,417
New York Court on the Judiciary,11
New York Criminal Court,19
New York District Court,288
New York Executive Chamber,4
New York Family Court,735
New York Magistrate Court,8
New York Marine Court,211
New York Mills Village Court,1
New York Saratoga County Court,7
New York State Assembly,70
New York State Court of Claims,2739
New York State Hospital Commission,8
New York Supreme Court,117339
"New York Supreme Court, Albany County",61
"New York Supreme Court, Allegany County",1
"New York Supreme Court, Bronx County",221
"New York Supreme Court, Broome County",14
"New York Supreme Court, Cattaraugus County",1
"New York Supreme Court, Cayuga County",3
"New York Supreme Court, Chenango County",1
"New York Supreme Court, Columbia County",2
"New York Supreme Court, Cortland County",4
"New York Supreme Court, Delaware County",1
"New York Supreme Court, Dutchess County",7
"New York Supreme Court, Erie County",21
"New York Supreme Court, Essex County",1
"New York Supreme Court, Fulton County",2
"New York Supreme Court, Greene County",2
"New York Supreme Court, Kings County",946
"New York Supreme Court, Lewis County",1
"New York Supreme Court, Livingston County",2
"New York Supreme Court, Monroe County",37
"New York Supreme Court, Montgomery County",2
"New York Supreme Court, Nassau County",93
"New York Supreme Court, New York County",2337
"New York Supreme Court, Oneida County",13
"New York Supreme Court, Onondaga County",8
"New York Supreme Court, Ontario County",3
"New York Supreme Court, Orange County",13
"New York Supreme Court, Oswego County",3
"New York Supreme Court, Putnam County",9
"New York Supreme Court, Queens County",92
"New York Supreme Court, Rensselaer County",7
"New York Supreme Court, Richmond County",56
"New York Supreme Court, Rockland County",13
"New York Supreme Court, Saratoga County",92
"New York Supreme Court, Seneca County",1
"New York Supreme Court, St. Lawrence County",5
"New York Supreme Court, Suffolk County",37
"New York Supreme Court, Sullivan County",2
"New York Supreme Court, Tioga County",2
"New York Supreme Court, Tompkins County",1
"New York Supreme Court, Ulster County",6
"New York Supreme Court, Warren County",10
"New York Supreme Court, Washington County",11
"New York Supreme Court, Wayne County",1
"New York Supreme Court, Westchester County",155
New York Surrogate's Court,15196
New York Town and Village Courts,100
Niagara County Court,12
Niagara Falls City Court,1
Ninth Circuit,245627
Noble Circuit Court,6
Noble County Court of Common Pleas,1
Noble County Juvenile Court,1
Noble County Probate Court,1
"Norfolk Chancery Court, Virginia",38
Norfolk County Circuit Court,721
Northampton County Circuit Court,12
Northampton County Court of Common Pleas,596
Northampton County Court of Oyer and Terminer,5
Northampton County Court of Quarter Sessions,31
Northampton County Orphans' Court,29
North Carolina Industrial Commission,7278
North Castle Justice Court,1
North Dakota Court of Appeals,81
North Dakota Supreme Court,21387
Northern Mariana Islands,6890
Northern Mariana Islands Commonwealth Superior Court,10
Northern Mariana Islands Commonwealth Trial Court,101
North Greenbush Justice Court,1
North Hills Justice Court,3
Northumberland County Circuit Court,24
Northumberland County Court of Common Pleas,365
Northumberland County Court of Quarter Sessions,20
Northumberland County Orphans' Court,25
Nottoway County Circuit Court,8
Nyack Justice Court,1
"NYC Civil Court, Bronx",58
"NYC Civil Court, Kings",92
"NYC Civil Court, New York",89
"NYC Civil Court, Queens",79
"NYC Civil Court, Richmond",10
"NYC Criminal Court, Richmond",5
NYC Family Court,2086
Oakfield Justice Court,1
Oberlin Municipal Court,3
Ocean Beach Justice Court,4
"Ocean County Circuit Court, N.J.",2
Ocean County Superior Court,2
Office of Legal Counsel,145
Ogden Justice Court,1
"Oglethorpe County Superior Court, Ga.",3
Ohio Circuit Courts,3435
Ohio Civil Rights Commission,3
Ohio Court of Appeals,157671
Ohio Court of Claims,2301
Ohio Court of Nisi Prius,1
Ohio Probate Court,13
Ohio Probate Court of Franklin County,105
Ohio Public Utilities Commission,31
Ohio State Racing Commission,1
"Ohio Superior Court, Cincinnati",1228
Ohio Supreme Court,82478
Okaloosa County Circuit Court,2
Okaloosa County Court,1
Okeechobee County Circuit Court,7
Oklahoma Attorney General Reports,11444
Oklahoma Judicial Ethics Advisory Panel,108
Oneida Appellate Court,18
Oneida City Court,1
Oneida County Court,31
"Oneida Tribal Judicial System, Trial Court",1
Onondaga County Court,7
Onondaga Family Court,23
Onondaga Town Court,1
Ontario County Court,6
Ontario Family Court,2
Orange County Circuit Court,49
Orange County Court,67
Orange County Judge's Court,1
Orange Family Court,20
Orangetown Justice Court,3
Orchard Park Justice Court,1
Oregon Supreme Court,34816
Oregon Tax Court,4532
Orleans County Court,5
Osceola County Circuit Court,2
Osceola County Court,4
Ossining Justice Court,21
Oswego City Court,20
Oswego County Court,1
Oswego Family Court,6
Otero County District Court,1
Otsego County Court,10
Otsego Family Court,1
Ottawa Circuit Court,24
Ottawa County Court of Common Pleas,14
Owego Justice Court,1
"Oyer and Terminer, Albany County",8
"Oyer and Terminer, New York County",1
"Oyer and Terminer, Queens County",1
"Oyer and Terminer, Rensselaer County",1
"Oyer and Terminer, Washington County",1
PACER Training Site,27
Page County Circuit Court,15
Palm Beach County Circuit Court,206
Palm Beach County Court,100
Palm Beach County Court of Record,1
Palm Beach County Judge's Court,42
Palm Beach County Juvenile and Domestic Relations Court,7
Palm Beach County Small Claims Court,1
Parma Municipal Court,4
Pasco County Circuit Court,1
"Passaic County Circuit Court, N.J.",28
Passaic County Family Court,4
Passaic County Superior Court,16
Patrick County Circuit Court,3
Paulding Circuit Court,9
Paulding County Court of Common Pleas,42
"Paulding County Court, Ohio",1
Peekskill City Court,3
Penfield Justice Court,6
Pennsylvania Admiralty Court,28
Pennsylvania Arbitration Panels for Health Care,54
Pennsylvania Board of Parole,1
Pennsylvania Court of Common Pleas,1403
Pennsylvania Court of Oyer and Terminer,2
Pennsylvania Court of Quarter Sessions,1
Pennsylvania Department of Education,1
Pennsylvania Department of Justice,971
Pennsylvania Department of Public Welfare,1
Pennsylvania Environmental Hearing Board,79
Pennsylvania Municipal Court,1
Pennsylvania Office of the Attorney General,32
Pennsylvania Orphans' Court,2
Perinton Justice Court,10
Perry Circuit Court,7
Perry County Court of Common Pleas,73
Perry County Court of Oyer and Terminer,1
Perry County Court of Quarter Sessions,9
"Perry County Court, Ohio",2
Perry County Orphans' Court,8
Perry County Probate Court,1
Perrysburg Municipal Court,1
Petersburg County Circuit Court,23
Philadelphia County Court of Common Pleas,5602
Philadelphia County Court of Oyer and Terminer,40
Philadelphia County Court of Quarter Sessions,228
Philadelphia County Municipal Court,244
Philadelphia County Orphans' Court,1892
Philadelphia Court of Nisi Prius,38
Philadelphia Department of Justice,7
Philadelphia Election Court,1
Philadelphia Mayor's Court,1
Pickaway Circuit Court,22
Pickaway County Court of Common Pleas,23
Piermont Village Court,7
Pike Circuit Court,8
Pike County Court of Common Pleas,120
Pike County Court of Quarter Sessions,12
"Pike County Court, Ohio",1
Pike County Orphans' Court,2
Pike County Probate Court,1
"Pike Superior Court, Ga.",1
Pinellas County Circuit Court,50
Pinellas County Court,9
Pinellas County Court of Record,2
Pinellas County Judge's Court,3
Piqua Municipal Court,9
Pitkin County District Court,1
Pittsylvania County Circuit Court,11
Placer District Court,1
Plattsburgh City Court,1
Pleasant Valley Justice Court,2
Police Court of The Virgin Islands,2
Polk County Circuit Court,13
Polk County Court,13
Portage Circuit Court,13
Portage County Court of Common Pleas,13
Portage County Municipal Court,1
Portage County Probate Court,6
Port Chester Justice Court,1
Port Clinton Municipal Court,1
Port Jervis City Court,13
Portsmouth County Circuit Court,77
Portsmouth Municipal Court,3
Potter County Court of Common Pleas,51
Potter County Court of Quarter Sessions,3
Poughkeepsie City Court,24
Poughkeepsie Justice Court,3
Pound Ridge Justice Court,1
Powhatan County Circuit Court,1
Preble Circuit Court,6
Preble County Court of Common Pleas,16
Preble County Juvenile Court,2
Preble County Probate Court,8
Prince Edward County Circuit Court,3
Prince George County Circuit Court,15
Prince William County Circuit Court,39
Pueblo County District Court,6
Pulaski County Circuit Court,8
Putnam Circuit Court,18
Putnam County Court of Common Pleas,19
Putnam County Probate Court,3
Queens County Court,20
Queens Criminal Court,42
Queens Family Court,48
Queens Surrogate's Court,21
"Radford Corporation Court, Va.",2
Radford County Circuit Court,4
Ramapo Justice Court,9
"Randolph County Superior Court, Ga.",2
Rappahannock County Circuit Court,5
Ravenna Municipal Court,9
Recorder of Philadelphia,23
Red Hook Justice Court,4
Rensselaer County Court,10
Rhinebeck Justice Court,10
Rhode Island Vice Admiralty Court,240
Richland Circuit Court,51
Richland County Court of Common Pleas,42
"Richmond Chancery Court, Virginia",2
Richmond City Circuit Court,185
Richmond County Circuit Court,1439
Richmond Family Court,18
"Richmond Superior Court, Ga.",57
Richmond Surrogate's Court,2
Roanoke County Circuit Court,457
Rochester City Court,172
Rockbridge County Circuit Court,11
Rockingham County Circuit Court,167
Rockland County Court,6
Rockland Family Court,7
Rockville Centre Village Court,10
Rocky River Municipal Court,2
Rome City Court,3
Roslyn Harbor Justice Court,3
Ross Circuit Court,6
Ross County Court of Common Pleas,6
Ross County Probate Court,1
Russell County Circuit Court,8
Rye City Court,7
Sac and Fox Nation District Court,4
Sac and Fox Nation Supreme Court,11
Sacramento District Court,15
Salem County Circuit Court,71
Salina Register and Receiver,1
Salt Lake City Register and Receiver,1
Sand Lake Justice Court,5
Sandusky Circuit Court,35
Sandusky County Court of Common Pleas,16
Sandusky County Probate Court,2
San Fran. Dist Ct,43
Santa Cruz District Court,1
Santa Rosa County Circuit Court,11
Sarasota County Circuit Court,7
Sarasota County Court,4
Sarasota County Judge's Court,3
Saratoga Chancery Court,430
Saratoga Family Court,3
Saratoga Springs City Court,1
Saratoga Surrogate's Court,2
Scarsdale Justice Court,9
Schenectady City Court,3
Schenectady County Court,6
Schoharie County Court,2
Schuyler County Court,3
Schuyler Justice Court,1
Schuylkill County Court of Common Pleas,590
Schuylkill County Court of Oyer and Terminer,2
Schuylkill County Court of Quarter Sessions,67
Schuylkill County Orphans' Court,79
Scioto Circuit Court,13
Scioto County Court of Common Pleas,51
Scioto County Probate Court,2
Scott County Circuit Court,21
S.D. Alabama,240643
S.D. California,1160787
S.D. Florida,1470627
S.D. Georgia,422303
S.D. Illinois,300444
S.D. Indiana,930735
S.D. Iowa,227799
S.D. Mississippi,440782
S.D. New York,971176
S.D. Ohio,1108174
S.D. Texas,1800359
S.D. West Virginia,364663
Sea Cliff Justice Court,1
Second Circuit,119434
Seminole County Circuit Court,6
Seminole County Court,1
Seneca Circuit Court,23
Seneca County Court of Common Pleas,9
Seneca County Probate Court,2
Seneca Family Court,3
"Seriven County Superior Court, Ga.",1
Seventh Circuit,91149
Shaker Heights Municipal Court,22
Shasta District Court,2
Shelby Circuit Court,5
Shelby County Court of Common Pleas,11
Shelby County Probate Court,1
Shenandoah County Circuit Court,55
Shoshone and Arapaho Tribal Court,2
Sidney Municipal Court,6
Siskiyou District Court,1
Sixth Circuit,138351
Sleepy Hollow Justice Court,3
Smyth County Circuit Court,27
Snyder County Court of Common Pleas,66
Snyder County Court of Quarter Sessions,11
Snyder County Orphans' Court,7
"Somerset County Circuit Court, N.J.",2
Somerset County Court of Common Pleas,329
Somerset County Court of Quarter Sessions,36
Somerset County Ct. Oyer & Terminer,1
Somerset County Family Court,1
Somerset County Orphans' Court,12
Somerset County Surrogate's Court,1
Southampton County Circuit Court,8
South Carolina Admiralty Court,1
South Dakota Supreme Court,18372
South Euclid Municipal Court,14
"South Norfolk Corporation Court, Va.",1
South Nyack Justice Court,3
Special Court under the Regional Rail Reorganization Act,88
Special Tribunals of Pennsylvania,1
Special Tribunals of Texas,1
Spotsylvania County Circuit Court,262
Spring City Police Court,1
Springfield Municipal Court,2
Spring Valley Justice Court,11
Stafford County Circuit Court,75
Stark Circuit Court,54
Stark County Court of Common Pleas,86
"Stark County Courts, Ohio",19
Stark County Probate Court,7
Starkey Town Court,2
State of California Commission On Judicial Performance,30
State of Florida Department of Environmental Regulation,1
State of Florida Department of Revenue,1
State of Florida Division of Administrative Hearings,195
Staunton County Circuit Court,12
Steuben County Court,21
St. Lawrence County Court,3
St. Lucie County Circuit Court,21
St. Lucie County Court,2
St. Lucie County Small Claims Court,6
Struthers Municipal Court,1
Suffern Justice Court,1
Suffolk County Circuit Court,21
Suffolk County Court,849
Suffolk County District Court,351
Suffolk Family Court,35
Sullivan County Children's Court,3
Sullivan County Court,5
Sullivan County Court of Common Pleas,10
Sullivan County Court of Quarter Sessions,2
Sullivan County Orphans' Court,1
Summit Circuit Court,156
Summit County Court of Common Pleas,170
Summit County Municipal Court,3
Summit County Probate Court,11
Sumter County Circuit Court,6
"Sumter County Superior Court, Ga.",1
Sunder County Court of Common Pleas,1
Sup. Ct. of the Comm. of the N. Mariana Islands,276
Superior Court of Buffalo,449
Superior Court of Delaware,11007
Superior Court of Guam,156
Superior Court of Louisiana,55
Superior Court of New Hampshire,3025
Superior Court of New York,1449
Superior Court of North Carolina,1507
Superior Court of Pennsylvania,142267
Superior Court of Rhode Island,5401
Superior Court of South Carolina,1
Superior Court of The Virgin Islands,421
"Superior Court, S. D. Florida",24
Supreme Bench of Baltimore City,3
Supreme Court,499749
Supreme Court of Alabama,76009
Supreme Court of Arkansas,52849
Supreme Court of Colorado,30889
Supreme Court of Connecticut,35973
Supreme Court of Dakota,313
Supreme Court of Delaware,15167
Supreme Court of Florida,69420
Supreme Court of Georgia,72948
Supreme Court of Guam,81
Supreme Court of Iowa,53878
Supreme Court of Kansas,42484
Supreme Court of Louisiana,200134
Supreme Court of Minnesota,44354
Supreme Court of Missouri,42288
Supreme Court of New Hampshire,20645
Supreme Court of New Jersey,79091
Supreme Court of North Carolina,91118
Supreme Court of Oklahoma,46030
Supreme Court of Pennsylvania,126174
Supreme Court of Puerto Rico,43055
Supreme Court of Rhode Island,25258
Supreme Court of South Carolina,31884
Supreme Court of The Virgin Islands,1244
Supreme Court of Vermont,25480
Supreme Court of Virginia,27253
Supreme Judicial Court of Maine,29168
Surfside Municipal Court,2
Surry County Circuit Court,10
Susquehanna County Court of Common Pleas,39
Susquehanna County Court of Quarter Sessions,13
Susquehanna County Orphans' Court,6
Sussex County Circuit Court,8
Sussex County Municipal Court,1
Sussex County Superior Court,3
Suwannee County Circuit Court,1
Suwannee County Judge's Court,1
Swinomish Tribal Court,5
Swinomish Tribal Court of Appeals,1
Sylvania Municipal Court,2
Synder County Court of Common Pleas,3
Syracuse City Court,48
Taggart Circuit Court,1
Taghkanic Justice Court,1
"Talbot County Superior Court, Ga.",4
"Talliaferro County Superior Court, Ga.",7
Tascarawas County Court of Common Pleas,1
Tazewell County Circuit Court,10
Teller County District Court,2
Temporary Emergency Court of Appeals,341
Tennessee Court of Workers' Comp. Claims,1677
Tennessee Superior Court for Law and Equity,238
Tennessee Supreme Court,34901
Tennessee Workers' Comp. Appeals Board,545
Tenth Circuit,79357
Texas Attorney General Reports,22936
Texas Commission of Appeals,3584
Texas Judicial Panel on Multidistrict Litigation,49
Texas Special Court of Review,9
Texas Supreme Court,32025
The Superior Court of New York City,7612
Third Circuit,109922
Tiffin Municipal Court,9
"Tillamook County Circuit Court, Oregon",3
Tioga County Court,3
Tioga County Court of Common Pleas,32
Tioga County Court of Quarter Sessions,6
Tioga County Orphans' Court,2
Toledo Municipal Court,34
Tompkins County Court,5
Tompkins Family Court,1
Tonawanda City Court,4
Tonawanda Justice Court,3
Tribunal De Apelaciones De Puerto Rico/Court of Appeals of Puerto Rico,6319
Trinity District Court,5
"Troup County Superior Court, Ga.",1
Troy City Court,4
Troy City Police Court,2
Trumbull Circuit Court,13
Trumbull County Court of Common Pleas,77
"Trumbull County Courts, Ohio",5
Trumbull County Municipal Court,1
Trumbull County Probate Court,1
Tuckahoe Justice Court,15
