unique_id,text
67142422-270236683-276438732,Motion to Avoid Lien (Notice of)
67142422-270231310-276433351,Avoid Lien (Motion to)
67142422-269724251-275926068,oMinute Entry Order
67142422-268678873-274875503,Certificate of Service and No Objections
67142422-268678864-274875494,Lodging Proposed Order (Notice of)
67142422-266645273-272840719,BNC Certificate of Notice - PDF Document
67142422-266498718-272694104,Avoid Lien (Motion to)
67142422-266498678-272694064,Notice of Filing
67142422-266318996-272514378,oReopen Case (Reopen Fee Due)
67142422-264783625-270976664,Lodging Proposed Order (Notice of)
67142422-264783595-270976634,Change Judge
67142422-264768361-270961390,Reopen Chapter 7 Case (Motion to) (260.00 Reopen Fee Due)
67142422-264768360-270961389,Auto-Docket of Credit Card Payment
63257147-201437123-207206958,BNC Certificate of Notice - Generic
63257147-201076862-206837370,Discharging Debtor(s) - D7C Formerly DC7
63257147-201076861-206837369,AutoClose Bankruptcy Case
63257147-200801623-206552142,Receipt of Final Filing Fee Installment
63257147-200750740-206500730,Installment Fee Payment (FINAL)
63257147-198480461-204190051,Receipt of Filing Fee
63257147-198392071-204100743,Installment Fee Payment
63257147-196160395-201837017,Chapter 7 Trustee's Report of No Distribution
63257147-195734462-201404413,Receipt of Filing Fee
63257147-195708960-201378111,Installment Fee Payment
63257147-193402307-199027638,xBNC Certificate of Notice - Notice of Meeting of Creditors
63257147-193402296-199027627,BNC Certificate of Notice - Generic
63257147-193402288-199027619,BNC Certificate of Notice - Generic
63257147-193315794-198939862,Pay Filing Fees in Installment(s)
63257147-193301353-198925278,Pay Filing Fee in Installments [Requires LBF 110 - 12/1/21 or OF B 103A
63257147-193301350-198925275,Meeting of Creditors 7 (No Asset)
18512007-203227683-209031420,Memorandum Opinion and Order AND ~Util - Terminate Civil Case AND Order on Motion for Summary Judgment
18512007-203227681-209031418,Judgment - AO450
18512007-196723337-202408517,Order on Motion to Withdraw as Attorney
18512007-196695855-202380876,Withdraw as Attorney
18512007-182826879-188290390,Order on Motion for Extension of Time to File Response/Reply
18512007-182826920-188290431,Extension of Time to File Response/Reply
18512007-179888424-185307372,Summary Judgment
18512007-143251231-147938180,Exhibit State Court Pleadings
17374764-148765055-153548818,Close Bankruptcy Case
17374764-147716292-152477694,BNC Certificate of Mailing - Order of Discharge
17374764-147442008-152198330,Autoclose deadline
17374764-147418539-152174590,Automatic Discharge of Debtor
17374764-146230198-150965607,Financial Management Course
17374764-145559197-150284190,Personal Financial Management Course
17374764-145559179-150284173,Personal Financial Management Course
17374764-144327306-149031841,BNC Certificate of Mailing
17374764-143911940-148610860,Notice of Requirement to Complete Course in Financial Management - Ch 7 or Ch13 (BNC)
17374764-143911122-148610016,Notice of Requirement to Complete Course in Financial Management - Ch 7 or Ch13 (BNC)
17374764-143168869-147854256,Chapter 7 Trustee's Report of No Distribution - No Funds
17374764-140904691-145553018,Meeting of Creditors Continued (Trustee)
17374764-135962722-140543551,Auto-Docket of Credit Card/Debit Card
17374764-135884380-140464269,BNC Certificate of Mailing - Meeting of Creditors
17374764-135884377-140464266,BNC Certificate of Mailing
17374764-135825865-140404117,Creditor Request for Notices
17374764-135733396-140310738,Debtor (Ch 7)
17374764-135732646-140309963,Debtor (Ch 7)
17374764-135719995-140297269,Auto Assignment Meeting of Creditors 7 No Asset Individual
17374764-135618058-140193785,Voluntary Petition (Chapter 7)
17374764-135618054-140193781,Certificate of Credit Counseling
11827741-83555331-87702028,NextGen Remark
69625844-416111258-429833830,Petition for Review
69625844-416111233-429833806,Memorandum in Support
14452468-300328452-306561425,Reply to response to petition
14452468-296559958-302789196,Order on Motion for Extension of Time to File Response/Reply
14452468-296061309-302290101,Extension of Time to File Response/Reply
14452468-294644391-300869213,Appendix
14452468-294146680-300371178,Response to habeas petition
14452468-294146671-300371169,Notice (Other)
14452468-290434197-296653529,Order on motion for leave to proceed In forma pauperis
14452468-290185789-296404908,Proceed In Forma Pauperis
14452468-290034030-296253102,Order to respond to habeas petition
14452468-289993908-296212970,Notice of pendency of related cases
14452468-289618355-295837335,Fees paid
14452468-288243474-294461315,Order to file proof of indigency
14452468-288193434-294411262,Related case order and track 1 notice
14452468-287736888-293954631,Petition for writ of habeas corpus
14452468-209877026-215790856,Notice of change of address
14452468-202846162-208642885,Order on Motion to Substitute Attorney
14452468-202743514-208538340,Substitute Attorney
14452468-202251085-208036343,Order Reopening Case
14452468-173746459-179066497,Notice of inquiry
14452468-161709901-166859321,Notice of change of address
14452468-94553738-98755298,Reply to response to petition
14452468-65036315-69172456,Notice (Other)
14452468-64928235-69063449,Order
16614503-170589727-175861063,Judgment
16614503-170589724-175861060,SOR/PersID/Reason for AmdJgm
16614503-170536736-175807600,Sentencing
16614503-170265860-175532957,Sentencing Memorandum
16614503-170265658-175532732,Leave
16614503-169916441-175178406,Presentence Investigation Report
16614503-169761271-175019641,Notice of Intent to Not Call Witnesses at Sentencing
16614503-169761284-175019654,Sentencing Document (by Government)
16614503-166742050-171963836,Continue
16614503-166523527-171741178,Order (rule motion and set or satisfy schedule)
16614503-166234073-171448347,Acceptance to Presentence Investigation Report
16614503-159406646-164523067,Warrant Returned Executed
16614503-158770610-163878438,Order (rule motion and set or satisfy schedule)
16614503-158770616-163878444,"Plea Agreement, Guidelines Rec & Stip Supplement"
16614503-158760236-163867957,"Plea Agreement, Guidelines Rec & Stip"
16614503-158760338-163868059,Request for Continued Detention
16614503-158760340-163868061,Waiver of Indictment
16614503-158760342-163868063,Superseding Information
16614503-154746914-159804951,Order (rule motion and set or satisfy schedule)
16614503-154087379-159135751,Order Regarding Pretrial Motion Status
16614503-153794638-158839402,Waiver of Filing Pretrial Motions
16614503-152019597-157018568,Order (rule motion and set or satisfy schedule)
16614503-151895828-156891403,Extension
16614503-149520967-154314768,Order (rule motion and set or satisfy schedule)
16614503-149352031-154144007,Extension
16614503-146084138-150817703,Order (rule motion and set or satisfy schedule)
16614503-145261468-149980241,Extension
16614503-141017124-145666789,Order (rule motion and set or satisfy schedule)
16614503-140781485-145427525,Extension
16614503-136182791-140767907,Order (rule motion and set or satisfy schedule)
16614503-136130333-140714187,Extension
16614503-130650206-135154580,Order (rule motion and set or satisfy schedule)
16614503-130480619-134983393,Extension
16614503-124748113-129191166,Order (rule motion and set or satisfy schedule)
16614503-124636059-129078107,Extension
16614503-119985692-124392933,Order (rule motion and set or satisfy schedule)
16614503-119408971-123810134,Extension
16614503-115886480-120255553,Attorney Withdrawal
16614503-115317949-119682741,Request for Discovery
16614503-114492283-118850915,Discovery Letter
16614503-114479005-118837579,Order Concerning Pretrial Motions
16614503-114431154-118789377,Entry of Attorney Appearance - Defendant
16614503-114057635-118413173,Order on Motion to Detain
16614503-113880183-118234179,Request for Discovery
16614503-113880190-118234186,Entry of Attorney Appearance - Defendant
16614503-114020485-118375656,Warrant Returned Executed
16614503-113647061-117999673,CJA Form 23 - Financial Affidavit
16614503-113647069-117999681,Rule 5(c)(3) Documents Received
16614503-113647101-117999714,Order Appointing Public Defender
16614503-113602756-117955187,Detention and Hearing
16614503-113602801-117955231,Indictment - Redacted
16614503-113602807-117955237,Indictment
16614503-170290639-175558140,A Docket Text Order
16614503-166762192-171984133,A Docket Text Order
16614503-158760237-163867958,Arraignment and Plea of Guilty
16614503-147335565-152090744,Status Conference
16614503-116011857-120382346,A Docket Text Order
16614503-116011850-120382339,~Util - Add and Terminate Attorneys
16614503-114441989-118800299,Arraignment
16614503-113686896-118039671,Case Assignment Local Rule 2.08
16614503-113628399-117980916,Initial Appearance
16614503-113613488-117965939,Arrest
16614503-113602707-117955138,Warrant Issued
6190659-84657933-88813426,Order on Motion to Vacate (2255)
6190659-360355512-366962343,Initial Appearance (WITH OPTIONAL DPPA ORDER)
6190659-326176072-332437477,Notice/Order of Change of Plea and/or Sentencing
6190659-318646887-324901630,Order on Motion in Limine
6190659-318226258-324480944,~Util - Set/Reset Hearings
6190659-314113136-320363721,~Util - Terminate Hearings
6190659-313391820-319642164,Order on Motion for Hearing
6190659-308013878-314258750,~Util - Terminate Hearings AND Order of Entry
6190659-307036952-313276532,- Order (PAPERLESS or pdf attached)
6190659-307036944-313276524,Order
6190659-286421865-292638448,Judgment for Revocation
6190659-283740308-289953335,Order
6190659-283740199-289953226,Revocation of Supervised Release - Final Hearing
6190659-264827226-271020325,Revocation of Supervised Release - Final Hearing
6190659-264827203-271020302,~Util - Terminate Deadlines and Hearings
6190659-264827202-271020301,Notice of Hearing
6190659-257541065-263716663,Order Setting/Cancelling Hearing
6190659-231510075-237657037,Notice of Assignment of Assistant Federal Public Defender
6190659-230096887-236239398,~Util - Due Process Protections Act (DPPA) text AND Initial Appearance - Revocation Proceedings
6190659-230164618-236307318,Notice of Attorney Appearance - USA
6190659-230096874-236239385,Bond
6190659-230054693-236197109,Invocation of Right to Silence and Counsel
6190659-224555076-230688104,Probation/Criminal Summons Issued
6190659-183998491-189479467,Petition and Order for Modification of Conditions - Forms 12B/12D
6190659-142961734-147641850,Order on Motion for Return of Property/PostTrial
6190659-141060554-145710544,Return of Property/PostTrial
6190659-93510001-97701864,Order on Motion to Amend/Correct
6190659-86926106-91099844,Amend/Correct
6190659-32899318-35063215,Motion to Vacate 2255
6190659-223063341-229192253,Order
6190659-142696794-147372458,Order Requiring Responses from Government/Probation and Appointing Federal Public Defender
32598348-348667091-355105472,BNC Certificate of Notice (BK)
32598348-348377134-354813898,Close Case
32598348-348377133-354813897,Close Bankruptcy Case (Auto Closing Program)
32598348-344224527-350559154,BNC Certificate of Notice - Order of Discharge
32598348-344012399-350346996,Automatic Discharge of Debtor
32598348-339059335-345376031,BNC Certificate of Notice (BK)
32598348-338923100-345239088,Relief from Stay
32598348-338689549-345003954,Financial Management Course Certificate
32598348-336669973-342978266,Relief from Stay (FEE)
32598348-336503683-342811642,Chapter 7 Trustee's Report of No Distribution - no funds (TRUSTEE 341 FILINGS PROGRAM)
32598348-334334774-340639872,Notice of Appearance and Request for Notice
32598348-333969116-340274177,BNC Certificate of Notice - Meeting of Creditors
32598348-333859259-340164184,Creditor Request for Notice
32598348-333834263-340139188,Auto Assignment Meeting of Creditors Chapter 7 Indiv No Asset
32598348-333754235-340059030,Voluntary Petition (Chapter 7) (ACTIVE EVENT)
32598348-333754234-340059029,Certificate of Credit Counseling
8421271-341969891-348297060,Verification of Claims Register Upon Expiration of Claims Deadline
8421271-332703753-339004501,BNC certificate of mailing of order
8421271-332560190-338860645,Confirming Chapter 13 Plan
8421271-332252231-338552377,Certification re: Compliance with Requirements of 11 U.S.C. Section 1325
8421271-327766304-334029397,Directive for Plan Payments
8421271-325894665-332156030,Certification of Completion of Postpetition Financial Management Course
8421271-325232202-331493522,Chapter 13 Plan and Related Motions
8421271-324646026-330906860,CerDocTyp - Notice of LBR 3015-2 Deficiency
8421271-324646025-330906859,CerDocTyp - Notice of Meeting of Creditors
8421271-324646024-330906858,CerDocTyp - Notice of Electronic Filing Procedure
8421271-324646023-330906857,CerDocTyp - Notice of Requirement to Complete Course in Personal Financial Management
8421271-324311399-330572161,1 - Case Filing/Plan Deficiency
8421271-324297371-330558120,none
8421271-324291393-330552136,Auto Assignment Meeting of Creditors Chapter 13
8421271-324194725-330455445,Chapter 13 Voluntary Petition
8421271-324194723-330455443,Certificate of Credit Counseling
8421271-208155452-214041732,Case Closed - Chapter 13 Discharge
8421271-208135824-214021909,Trustee Final Report and Account - Chapter 13
8421271-203843618-209656188,CerDocTyp - BNC Certificate of Mailing of Discharge of Debtor After Completion of Chapter 13 Plan
8421271-203519165-209326960,Discharge of Debtor(s) (Chapter 13 Only)
8421271-200819040-206570242,CerDocTyp - Notice to Debtor(s) and Creditors Concerning Issuance of Chapter 13 Discharge
8421271-200438987-206184320,Debtor(s) Change of Address
8421271-200418566-206163666,Directive for Termination of Plan Payments
8421271-200418565-206163665,Trustee Report of Completion of Plan Payments
8421271-194732702-200381202,Debtor's(s') Certification of Compliance with 11 U.S.C. Section 1328
8421271-84576660-88731023,BNC certificate of mailing of order
8421271-84332075-88484851,Confirming Chapter 13 Plan
8421271-84179480-88331132,Directive for Plan Payments
8421271-65083861-69220294,Hearing held; pleading withdrawn in open court
8421271-61570035-65681460,Hearing continued
8421271-61469690-65580324,*Amended/Modified Chapter 13 Plan and Related Motions
8421271-57985409-62069332,Hearing continued
8421271-49479367-52981533,"Motion to Dismiss Case, Notice of Motion & Notice of Hearing"
36252989-335728923-342035098,BNC Certificate of Mailing - Order Approving Trustee's Report of No Distribution and Closing Case
36252989-335464019-341769954,Approving Trustee's Report of No Distribution and Closing Case (No Asset)
36252989-328583411-334847638,BNC Certificate of Mailing - Order of Discharge
36252989-328281692-334545800,Automatic Discharge of Debtor(s)
36252989-319642050-325897935,BNC Certificate of Mailing - Meeting of Creditors
36252989-319642049-325897934,BNC Certificate of Mailing - Deficiency Notice of Additional Missing Documents
36252989-319642048-325897933,BNC Certificate of Mailing - Ch.7/13 Income Tax Turnover Order
36252989-319305649-325561297,Income Tax Turnover Order
36252989-319280225-325535834,Notice of Debtor's Prior Filings
36252989-319091992-325347353,Meeting of Creditors 7 (No Asset)
36252989-319091991-325347352,Social Security Statement (SEALED)
33448086-350400114-356839446,BNC Certificate of Mailing
33448086-350272106-356711340,Terminate Party
33448086-350151432-356590628,"Order Approving Account, Discharging Trustee, Releasing Bond & Closing Case (Form)"
33448086-350010466-356449578,TDR - Final Account (U.S. Trustee Only)
33448086-341277731-347602684,Receipt of Deposit of Unclaimed Funds/Small Dividends
33448086-341022805-347346089,Notice of Payment of Unclaimed Funds
33448086-328695149-334959385,Notice of Final Dividends to Creditors
33448086-319128502-325383911,Notice of Final Dividends to Creditors
33448086-319091194-325346555,Certificate of Service/Mailing
33448086-318962017-325217106,Order re Trustee's Application for Compensation (PDF)
33448086-315001086-321252086,TFR - Notice of Application for Compensation and Proposed Distribution (NFR)
33448086-314745268-320995974,TFR/UST - Trustee's Final Report (Ch 7)
33448086-314745267-320995973,TFR/UST - Application for Compensation of Trustee
33448086-313761869-320012388,Report of Sale
33448086-312637292-318887362,BNC Certificate of Mailing
33448086-312448697-318698732,Notice of Claim(s) Filed by Debtor or Trustee (PDF/Form)
33448086-312102591-318352527,Interim Report (batch)
33448086-308344130-314589693,BNC Certificate of Mailing - Order of Discharge
33448086-308087013-314331910,Order Discharging Debtor(s) (Ch. 7) (ADI)
33448086-306154186-312392655,Notice of Intent to Sell (Negative Notice)
33448086-305304372-311542126,Certificate of Service/Mailing
33448086-305304371-311542125,Certificate of Service/Mailing
33448086-305164684-311402252,Auto-Docket of Online Payment
33448086-305154804-311392367,Amended Schedules and/or Statements
33448086-304035534-310271918,Financial Management Course Certificate and/or Official Form 23
33448086-304035533-310271917,Financial Management Course Certificate and/or Official Form 23
33448086-302509868-308744108,BNC Certificate of Mailing
33448086-302345098-308579243,Notice to File Claims (PDF/Form)
33448086-302188179-308422302,Notice of Assets (Paperless)
33448086-301982218-308216292,Proceeding Memo re: Conclusion of 341 Meeting
33448086-299713766-305946604,Request for Notices (No Attorney Appearance)
33448086-299402136-305634917,BNC Certificate of Mailing - Meeting of Creditors
33448086-299342318-305575099,Notice of Compliance with Sec. 521(a)
33448086-299257281-305490051,5Alpha Case Admin Assignment (NoDoc)
33448086-299240494-305473264,Meeting of Creditors 7 (Auto)
33448086-299207228-305439998,Auto-Docket of Online Payment
33448086-299195801-305428571,Certification of Filing Tax Returns (Chapters 11 or 13)
33448086-299195796-305428566,Certification of Filing Tax Returns (Chapters 11 or 13)
33448086-299143853-305376623,Voluntary Petition (Chapter 7)
33448086-299143852-305376622,Chapter 7 Statements - Monthly Income (122A-1) / Exemption Presumption Abuse (122A-1Supp)
33448086-299143851-305376621,Certificate of Credit Counseling
33448086-299143850-305376620,Certificate of Credit Counseling
33448086-299143842-305376612,Employee Income Records - Payment Advices OR Stmt/Cert of No Employment Income
36268886-248400122-254565711,BNC Certificate of Service
36268886-248231965-254397460,Close Bankruptcy Case
36268886-247094225-253259407,BNC Certificate of Service
36268886-246851905-253017076,Dismissing Case
36268886-246669456-252834624,BNC Certificate of Service
36268886-246579747-252744914,Extend/Shorten Time
36268886-246149067-252314144,Notice to Resubmit Order
36268886-245948607-252113657,Extend/Shorten Time
36268886-244996377-251161329,BNC Certificate of Service
36268886-244257902-250422034,Notice Re: Financial Management
36268886-244211689-250375756,BNC Certificate of Service
36268886-243912330-250075880,Notice of Delinquent Filing Fee
36268886-241240230-247401135,Receipt of Installment Payment (Second)
36268886-239870820-246030119,BNC Certificate of Service
36268886-239726590-245885755,Notice of Delinquent Filing Fee
36268886-238693020-244851666,Receipt of Installment Payment (First)
36268886-237503019-243659731,BNC Certificate of Service
36268886-237410036-243566746,Notice of Delinquent Filing Fee
36268886-235503472-241656798,BNC Certificate of Service
36268886-235503471-241656797,BNC Certificate of Service
36268886-235282863-241436066,Meeting of Creditors
36268886-235272812-241426015,Pay Filing Fees in Installments
36268886-235181509-241334662,Pay Filing Fee in Installments
36268886-234304424-240457200,BNC Certificate of Service
36268886-234304423-240457199,BNC Certificate of Service
36268886-233973719-240126472,Notice of Deficiency re: Credit Counseling Certificate
36268886-233973712-240126465,Notice of Deficiency
8265294-44975625-50514733,Text of Proposed Order
8265294-44975601-50408808,Text of Proposed Order
8265294-44975502-50344587,Civil Cover Sheet
67151719-265981573-272176925,rule 33 order filed
36565224-240647218-246807534,Close Bankruptcy Case 7 13 (Autodocket)
36565224-240368537-246528548,BNC Certificate of Mailing - Order of Discharge
36565224-239985954-246145379,Discharging Debtor (Autodocket)
36565224-236679911-242834918,BNC Certificate of Mailing
36565224-236379557-242533566,Certificate of Financial Management Course
36565224-236307324-242461215,Notice of Requirement for Financial Management Course
36565224-234625386-240778204,Ch 7 Trustee's Report of No Distribution (341 Filings)
36565224-233867791-240020537,Creditor Request for Notices (Batch)
36565224-233317139-239469401,Administrative Order
36565224-233234559-239386707,Stipulation
36565224-233140903-239292844,Deficiency Notice
36565224-233132593-239284532,Stipulation
36565224-231305254-237451128,Stipulation
36565224-230977316-237122689,BNC Certificate of Mailing - Meeting of Creditors
36565224-230799055-236944329,Clerks Evidence of Repeat Filing
36565224-230752979-236898194,Auto-Docket of Credit Card/Debit Card
36565224-230752978-236898193,Pay Advice
36565224-230752977-236898192,Auto Assignment Meeting of Creditors 7
36565224-230741358-236886562,Voluntary Petition (Chapter 7)
36565224-230741357-236886561,Certificate of Credit Counseling
16376660-120744491-125157570,Order on Motion to Dismiss
16376660-120737675-125150713,Dismiss
16376660-120737675-399675992,Text of Proposed Order Proposed Order
16376660-118623018-123017212,Order on Motion for Extension of Time to File Response/Reply
16376660-118608701-123002782,Extension of Time to File Response/Reply
16376660-115518039-119884046,Dismiss/Lack of Jurisdiction
16376660-113804590-118158222,Order on Motion for Extension of Time to Answer
16376660-113644905-117997514,Extension of Time to File Answer
16376660-112277639-116620416,Order on Motion for Extension of Time to Answer
16376660-112213802-116556002,Extension of Time to File Answer
16376660-110752244-115082478,Order on Motion for Extension of Time to Answer
16376660-110373180-114700869,Extension of Time to File Answer
16376660-107219950-111521812,Order to Propose Schedule
16376660-126361820-130820628,Civil Cover Sheet Civil Cover Sheet
16376660-107006391-111306701,Order Referring Case to Magistrate Judge
60197243-416588711-430323353,Chapter 13
60197243-414568870-428221517,Chapter 13
60197243-414439218-428086543,Chapter 13
60197243-414232373-427865068,Chapter 13
60197243-414073368-427699054,Chapter 13
60197243-411820546-425001242,Chapter 13
60197243-411660097-424792981,Chapter 13
60197243-411593913-424706778,Chapter 13
60197243-411174272-424131838,Chapter 13
60197243-411174195-424131759,Chapter 13
60197243-411167209-424120184,Chapter 13
60197243-409461331-421839424,Chapter 13
60197243-409279761-421575437,Chapter 13
60197243-409279751-421575427,Chapter 13
60197243-408487063-420515573,Chapter 13
60197243-408163411-420092366,Chapter 13
60197243-408153044-420076288,Chapter 13
60197243-406089632-417258069,Chapter 13
60197243-405705457-416739576,Chapter 13
60197243-402110226-411791286,Chapter 13
60197243-402110046-411791108,Chapter 13
60197243-400563851-409800381,Chapter 13
60197243-362042278-368723806,Chapter 13
60197243-360215020-366818851,Chapter 13
60197243-360065519-366667124,Chapter 13
60197243-359882026-366480707,Chapter 13
60197243-352476141-358938816,Chapter 13
60197243-347818427-354248973,Chapter 13
60197243-217850136-223890393,Chapter 13
60197243-217628657-223665847,Chapter 13
60197243-217526904-223562229,Chapter 13
60197243-217526991-223562316,Chapter 13
60197243-216754617-222776707,Chapter 13
60197243-214467014-220450238,BNC Certificate of Mailing - PDF Document
60197243-214241802-220222493,Relief from Stay
60197243-214234730-220215324,Hearing Held (Bk)
60197243-214232296-220212829,CHAP - Hearing Continued (Bk Other)
60197243-214232295-220212828,Hearing Continued (Bk)
60197243-212378281-218327517,Hearing Continued (Bk)
60197243-210963306-216892474,Response
60197243-210840926-216768441,Hearing Continued (Bk Other)
60197243-210840925-216768440,Hearing Continued (Bk)
60197243-209761334-215673178,Notice of Mortgage Payment Change
60197243-209353736-215258990,Relief from Stay
60197243-209353729-215258983,Notice of Motion
60197243-209353723-215258977,Auto-Docket of Credit Card
60197243-207999091-213882456,Notice of Appearance and Request for Notice
60197243-205145803-210979185,Hearing Continued (Bk Other)
60197243-205145795-210979177,Hearing Continued (Bk)
60197243-205071394-210902872,Schedule I - (for first filing and amendments)
60197243-205071393-210902871,Schedule J - (for first filing and amendments)
60197243-204045423-209860637,Pre-Confirmation Certification
60197243-203729803-209541165,Chapter 13 Trustee's Annual Report
60197243-202609994-208402314,Praecipe to Withdraw Document
60197243-201160988-206922974,Hearing Continued (Bk Other)
60197243-201160983-206922969,Hearing Continued (Bk)
60197243-200945191-206701911,Amended Chapter 13 Plan(pre-confirmation)
60197243-194292918-199931531,Hearing Continued (Bk Other)
60197243-194292904-199931516,Hearing Continued (Bk)
60197243-191922622-197526612,Hearing Continued (Bk Other)
60197243-191922612-197526602,Hearing Continued (Bk)
60197243-189916236-195490084,Amended Chapter 13 Plan(pre-confirmation)
60197243-189540591-195109257,Hearing Continued (Bk Other)
60197243-189540393-195109059,Hearing Continued (Bk)
60197243-189478643-195046084,Schedule I - (for first filing and amendments)
60197243-189478589-195046030,Schedule J - (for first filing and amendments)
60197243-185900974-191411200,Hearing Continued (Bk Other)
60197243-185900959-191411184,Hearing Continued (Bk)
60197243-185609055-191114835,Amended Chapter 13 Plan(pre-confirmation)
60197243-182785728-188248750,Objection to Confirmation of Plan
60197243-182785726-188248748,Certificate of Service
60197243-182425790-187883404,Meeting of Creditors Held and Concluded
60197243-182016988-187468319,"Notice of Postpetition Mortgage Fees, Expenses, and Charges"
60197243-181483394-186927679,Hearing Continued (Bk Other)
60197243-181483368-186927652,Hearing Continued (Bk)
60197243-179562034-184972156,Amended Document
60197243-179390587-184797830,Meeting of Creditors Continued (multi)
60197243-178565131-183960680,Meeting of Creditors Continued (multi)
60197243-178455322-183848686,Notice of Appearance and Request for Notice
60197243-178163202-183549231,Dismiss Case for Failure to Make Plan Payments
60197243-178163201-183549230,Notice of Motion
60197243-175963520-181315088,BNC Certificate of Mailing - Meeting of Creditors
60197243-175731953-181080518,Meeting of Creditors Chapter 13
60197243-175660815-181008084,Objection to Confirmation of Plan
60197243-175414807-180758331,Notice of Appearance and Request for Notice
60197243-174743856-180077395,Disclosure of Compensation of Attorney for Debtor 
60197243-174743851-180077390,Compensation
60197243-174743574-180077108,Summary of Assets and Liabilities and Certain Statistical - (for initial filing and amendments)
60197243-174743573-180077107,Schedules AB - J
60197243-174743572-180077106,Statement of Financial Affairs
60197243-174743571-180077105,Chapter 13 Plan
60197243-174743570-180077104,Chapter 13 Statement of Monthly Income 122C-1
60197243-174253824-179579977,BNC Certificate of Mailing - PDF Document
60197243-174067083-179390951,Amended Document
60197243-173942131-179264734,Extend / Shorten Time
60197243-173911559-179233491,Extend / Shorten Time
60197243-173714879-179034629,Amended Document
60197243-173034766-178343886,BNC Certificate of Mailing - Voluntary Petition
60197243-172858885-178166372,Creditor Request for Notices
60197243-172786879-178093657,Auto-Docket of Credit Card
60197243-172691488-177997250,Voluntary Petition (Chapter 13)
60197243-172691487-177997248,Statement of Social Security Number (Form 121)
60197243-172691485-177997247,Exhibit D - Individual Debtor's Statement of Compliance with Credit Counseling Requirement
60197243-172691482-177997244,Certificate of Credit Counseling
60197243-172691479-177997241,Matrix List of Creditors
60197243-172732830-178039041,Add Trustee
60197243-172732725-178038934,Requiring Documents
4608258-318559887-324814626,~Util - Set Briefing Schedule AND Order
4608258-318163178-324417857,Order on Motion to Appear Pro Hac Vice
4608258-318163177-324417856,Order on Motion to Appear Pro Hac Vice
4608258-15869031-16654812,Summons
4608258-15869031-16654808,Civil Cover Sheet
69382698-417284415-431043745,BNC Certificate of Mailing - Order of Discharge
69382698-417065027-430817331,Close Bankruptcy Case
69382698-417062493-430814778,Discharge of Debtor - Ch. 7 - TAMPA/ORLANDO/JAX
69382698-417062476-430814762,"Order Approving Account, Discharging Trustee, Canceling Bond & Closing Estate (incl. Conditional)"
69382698-412985912-426537650,Trustee Services Rendered Pursuant to 330(e)
69382698-411494103-424572754,ADI - Report of No Distribution - Ch 7 - No Funds (No Paper)
69382698-408921025-421126037,BNC Certificate of Mailing - Meeting of Creditors
69382698-408646586-420741737,(NO PAPER) - 521 Compliance Entry
69382698-408587794-420663598,AJTA - Notice of Chapter 7 Bankruptcy Case No Proof of Claim Deadline
69382698-408468238-420490384,Voluntary Petition (Chapter 7)
69382698-408468237-420490383,Statement About Your Social Security Numbers
69382698-408468236-420490382,Certificate of Credit Counseling
8131990-349304741-355743425,BNC Certificate of Mailing - PDF Document
8131990-349139400-355577928,Confirming Chapter 13 Plan
8131990-349050445-355488928,BNC Certificate of Mailing
8131990-349002120-355440594,Trustee's Recommendation for Confirmation
8131990-348633959-355072331,Notice of Appearance and Request for Notice
8131990-344335156-350669792,Withdraw Chapter 13 Trustee Notes
8131990-344335135-350669771,Meeting of Creditors Held
8131990-344048233-350382830,Meeting of Creditors Held
8131990-344026445-350361042,Notice of Appearance and Request for Notice
8131990-342764061-349094777,Financial Management Course Certificate
8131990-342318688-348647044,Notice of Appearance and Request for Notice
8131990-341131023-347455135,BNC Certificate of Mailing - PDF Document
8131990-340844999-347167333,BNC Certificate of Mailing - PDF Document
8131990-340779224-347101376,Order to Pay Wages (Amended)
8131990-340602000-346923636,Correspondence
8131990-340462281-346783524,Order to Pay Wages
8131990-340284532-346605460,BNC Certificate of Mailing - Meeting of Creditors
8131990-340284531-346605459,BNC Certificate of Mailing - PDF Document
8131990-339963895-346282782,Notice of Appearance and Request for Notice
8131990-339906221-346224660,Meeting of Creditors 13
8131990-339906211-346224650,Certificate of Credit Counseling
8131990-339900994-346219418,Voluntary Petition - Attorney (Chapter 13)
8131990-175385360-180728352,BNC Certificate of Mailing - PDF Document
8131990-175326776-180668775,"Approving Chapter 13 Trustee's Final Report & Account, Professional Fees Recorded, Closing Case"
8131990-171256907-176541992,BNC Certificate of Mailing - PDF Document
8131990-170840778-176119187,Chapter 13 Trustee's Final Report and Account(batch)
8131990-167631441-172863458,BNC Certificate of Mailing - Order of Discharge
8131990-167391272-172620539,Discharging Debtor Ch. 13 After Completion
8131990-167123941-172350129,13 Trustee's Notice of Completion of Plan
8131990-165233850-170433665,BNC Certificate of Mailing - PDF Document
8131990-164949181-170145807,Confirming Modified Plan
8131990-164176781-169361311,Proposed Order (Batch)
8131990-161269490-166412212,Amended Creditor Matrix (Fee Required) AND Schedule D
8131990-161269332-166412054,Withdraw Document
8131990-161262843-166405455,Post-Confirmation Modified Chapter 13 Plan
8131990-160879553-166017974,Hearing Continued (KMP)
8131990-159455455-164572346,BNC Certificate of Mailing - PDF Document
8131990-157973106-163070994,Proposed Order (Batch)
8131990-157947769-163045585,Withdraw Document
8131990-154805927-159864809,Affidavit
