unique_id,text,model,input_tokens,output_tokens,gpt_pred_sup,flp_sup
8261596-44888443-47172796,"NOTICE OF APPEARANCE by Thomas Edward Feeney on behalf of Vicente Del Carmen Gonzalez Gonzalez, Victoria Mejia, Jorge Marcos Solano (Feeney, Thomas) (Entered: 09/29/2011)",gpt-4o-mini-2024-07-18,354,2,Notice,Notice
8261596-53074069-57105047,"Minute Entry for proceedings held before Judge P. Kevin Castel: Conference held on 9/22/2011. Final pretrial conference is scheduled for November 18, 2011 at 12:15 p.m. (mro)",gpt-4o-mini-2024-07-18,356,3,Minute Entry,Minute Entry
8261596-44888401-47172755,"CLERK'S CERTIFICATE OF DEFAULT as to Dutchess Buffet, Inc. and Wenwu Shi. (ml) (Entered: 09/21/2011)",gpt-4o-mini-2024-07-18,342,2,Other,Other
8261596-44888380-47172730,"AFFIDAVIT OF SERVICE of Request for Entry of Default and Declaration of Nathaniel K. Charny served on Oriental Buffet, Inc., Yi Fan Zhang, Dutchess Buffet, Inc., Wenwu Shi on 9/20/2011. Service was made by MAIL. Document filed by Vicente Del Carmen Gonzalez Gonzalez, Victoria Mejia, Jorge Marcos Solano. (Charny, Nathaniel) (Entered: 09/20/2011)",gpt-4o-mini-2024-07-18,401,2,Other,Other
8261596-44888360-50916408,"FILING ERROR - DEFICIENT DOCKET ENTRY - REQUEST TO ENTER DEFAULT against Oriental Buffet, Inc., Yi Fan Zhang, Dutchess Buffet, Inc., Wenwu Shi. Document filed by Vicente Del Carmen Gonzalez Gonzalez, Victoria Mejia, Jorge Marcos Solano. (Attachments: # 1 Declaration of Nathaniel K. Charny in support of Request to Enter Default)(Charny, Nathaniel) Modified on 9/21/2011 (ka). (Entered: 09/20/2011)",gpt-4o-mini-2024-07-18,413,4,Request / Motion,Errata
8261596-44888338-47172689,"REQUEST TO ENTER DEFAULT against Oriental Buffet, Inc., Yi Fan Zhang, Dutchess Buffet, Inc., Wenwu Shi. Document filed by Vicente Del Carmen Gonzalez Gonzalez, Victoria Mejia, Jorge Marcos Solano.(Charny, Nathaniel) (Entered: 09/20/2011)",gpt-4o-mini-2024-07-18,367,4,Request / Motion,Request / Motion
8261596-44888317-47172670,"ENDORSED LETTER addressed to Judge P. Kevin Castel from Nathaniel K. Charny dated 8/30/11 re: Counsel for the plaintiffs writes to request an adjournment of today's 10:30 am conference for at least 30 days. ENDORSEMENT: Conference for August 30 is adjourned to September 22, 2011 at 2:30 p.m. So ordered. ( Case Management Conference set for 9/22/2011 at 02:30 PM before Judge P. Kevin Castel.) (Signed by Judge P. Kevin Castel on 8/30/2011) (mro) (Entered: 08/30/2011)",gpt-4o-mini-2024-07-18,451,2,Order,Request / Motion
8261596-44888294-47172644,"AFFIDAVIT OF SERVICE. Wenwu Shi served on 8/15/2011, answer due 9/5/2011. Document filed by Vicente Del Carmen Gonzalez Gonzalez; Jorge Marcos Solano; Victoria Mejia. (Charny, Nathaniel) (Entered: 08/30/2011)",gpt-4o-mini-2024-07-18,374,2,Other,Other
8261596-44888273-47172623,"AFFIDAVIT OF SERVICE. Dutchess Buffet, Inc. served on 8/10/2011, answer due 8/31/2011. Service was accepted by Yulisa Shi. Document filed by Vicente Del Carmen Gonzalez Gonzalez; Jorge Marcos Solano; Victoria Mejia. (Charny, Nathaniel) (Entered: 08/30/2011)",gpt-4o-mini-2024-07-18,386,2,Other,Other
8261596-44888250-47172602,"ENDORSED LETTER addressed to Judge P. Kevin Castel from Nathaniel K. Charny dated 8/15/11 re: Counsel for the plaintiff requests an additional 60 days to serve defendant Wenwu Shi and defendant Dutchess Buffet, Inc. with the summons and second amended complaint. The 120 day period for service of the current summonses issued by the Clerk expires today, 8/15/11. ENDORSEMENT: Application granted. So ordered. (Signed by Judge P. Kevin Castel on 8/15/2011) (mro) (Entered: 08/15/2011)",gpt-4o-mini-2024-07-18,435,4,Request / Motion,Request / Motion
8261596-53074068-57105046,"***NOTE TO ATTORNEY THAT THE ATTEMPTED FILING OF Document No. 15 HAS BEEN REJECTED. Note to Attorney Nathaniel K. Charny : THE CLERK'S OFFICE DOES NOT ACCEPT LETTERS FOR FILING, either through ECF or otherwise, except where the judge has ordered that a particular letter be docketed. Letters may be sent directly to a judge. (db)",gpt-4o-mini-2024-07-18,392,2,Other,Notice
8261596-44888229-47172580,"FILING ERROR - ELECTRONIC FILING FOR NON-ECF DOCUMENT - MOTION for Extension of Time to Serve Wenwu Shi. Document filed by Vicente Del Carmen Gonzalez Gonzalez, Victoria Mejia, Jorge Marcos Solano.(Charny, Nathaniel) Modified on 8/15/2011 (db). (Entered: 08/12/2011)",gpt-4o-mini-2024-07-18,383,4,Request / Motion,Errata
8261596-44888208-47172559,"SECOND AMENDED COMPLAINT amending 4 Amended Complaint, against Dutchess Buffet, Inc., Oriental Buffet, Inc., Poughkeepsie Buffet, Inc., Yu Hui Ren, Wenwu Shi, Yi Fan Zhang.Document filed by Vicente Del Carmen Gonzalez Gonzalez, Jorge Marcos Solano, Victoria Mejia. Related document: 4 Amended Complaint, filed by Jorge Marcos Solano, Vicente Del Carmen Gonzalez Gonzalez, Victoria Mejia.(mbe) (Entered: 04/21/2011)",gpt-4o-mini-2024-07-18,411,2,Complaint,Complaint
8261596-53074067-57105045,"Minute Entry for proceedings held before Judge P. Kevin Castel: Initial Pretrial Conference held on 4/5/2011, ( Initial Conference set for 8/30/2011 at 10:30 AM before Judge P. Kevin Castel.). (mbe)",gpt-4o-mini-2024-07-18,362,3,Minute Entry,Minute Entry
8261596-44888188-47172538,"CIVIL CASE MANAGEMENT PLAN AND SCHEDULING ORDER: All parties do not consent to conducting all further proceedings before a Magistrate Judge. This case is not to be tried to a jury. All fact discovery shall be completed no later than 8/2/11. Initial requests for production of documents to be served by 6/4/11. Interrogatories to be served by 6/4/11. Depositions to be completed by 8/2/11. Requests to Admit to be served no later than 8/2/11. All expert discovery shall be completed no later than 8/23/11. Counsel for the parties have conferred and their present best estimate of the length of trial is 3-4 days. Leave to amend to add individual defendant and corporation is granted provided it is filed by April 15, 2011. The next Case Management Conference is scheduled for 8/30 at 10:30 a.m. (Signed by Judge P. Kevin Castel on 4/5/2011) (jfe) (Entered: 04/05/2011)",gpt-4o-mini-2024-07-18,539,2,Order,Order
8261596-44888167-47172517,ENDORSED LETTER addressed to Judge P. Kevin Castel from Jim Huang dated 3/4/11 re: Request to adjourn the initial pretrial conference set for 3/11/11. ENDORSEMENT: Conference adjourned to 4/5/11 at 10:45 am from 3/11/11. (Initial Conference reset for 4/5/2011 at 10:45 AM before Judge P. Kevin Castel.) (Signed by Judge P. Kevin Castel on 3/4/11) (cd) (Entered: 03/04/2011),gpt-4o-mini-2024-07-18,432,2,Order,Request / Motion
8261596-44888144-47172494,"AFFIDAVIT OF SERVICE. Service was accepted by JANE DOE. Document filed by Jorge Marcos Solano, Victoria Mejia. (Charny, Nathaniel) (Entered: 03/02/2011)",gpt-4o-mini-2024-07-18,353,2,Other,Other
8261596-44888121-47172472,"AFFIDAVIT OF SERVICE. Yu Hui Ren served on 2/7/2011, answer due 2/28/2011. Service was accepted by JANE DOE. Document filed by Jorge Marcos Solano; Vicente Del Carmen Gonzalez Gonzalez; Victoria Mejia. (Charny, Nathaniel) (Entered: 03/02/2011)",gpt-4o-mini-2024-07-18,382,2,Other,Other
8261596-44888095-47172446,"ANSWER to Amended Complaint. Document filed by Poughkeepsie Buffet, Inc., Yu Hui Ren. Related document: 4 Amended Complaint, filed by Jorge Marcos Solano, Vicente Del Carmen Gonzalez Gonzalez, Victoria Mejia.(Huang, Jin) (Entered: 02/28/2011)",gpt-4o-mini-2024-07-18,371,2,Answer,Answer
8261596-44888062-47172414,"RULE 7.1 CORPORATE DISCLOSURE STATEMENT. No Corporate Parent. Document filed by Poughkeepsie Buffet, Inc..(Huang, Jin) (Entered: 02/28/2011)",gpt-4o-mini-2024-07-18,353,2,Other,Other
8261596-44888037-47172386,"ORDER-INITIAL PRETRIAL CONFERENCE: The initial pretrial conference previously scheduled for March 7, 2011 at 11:00 a.m. is adjourned until March 11, 2011 at 10:30 a.m. in Courtroom 12C at the United States Courthouse, 500 Pearl Street, New York, New York. (Initial Conference set for 3/11/2011 at 10:30 AM in Courtroom 12C, 500 Pearl Street, New York, NY 10007 before Judge P. Kevin Castel.) (Signed by Judge P. Kevin Castel on 2/25/2011) (mro) (Entered: 02/25/2011)",gpt-4o-mini-2024-07-18,459,2,Order,Order
8261596-44888012-47172365,"CERTIFICATE OF SERVICE. Oriental Buffet, Inc. served on 2/15/2011, answer due 3/8/2011; Yi Fan Zhang served on 2/15/2011, answer due 3/8/2011. Service was made by MAIL. Document filed by Jorge Marcos Solano; Vicente Del Carmen Gonzalez Gonzalez; Victoria Mejia. (Charny, Nathaniel) (Entered: 02/15/2011)",gpt-4o-mini-2024-07-18,403,2,Other,Other
8261596-44887984-47172341,"AFFIDAVIT OF SERVICE. Yi Fan Zhang served on 2/4/2011, answer due 2/25/2011. Service was made by NAIL & MAIL. Document filed by Jorge Marcos Solano; Vicente Del Carmen Gonzalez Gonzalez; Victoria Mejia. (Charny, Nathaniel) (Entered: 02/15/2011)",gpt-4o-mini-2024-07-18,383,2,Other,Other
8261596-53074066-57105044,"SUMMONS ISSUED as to Oriental Buffet, Inc., Poughkeepsie Buffet, Inc., Yu Hui Ren, Yi Fan Zhang. (mro)",gpt-4o-mini-2024-07-18,341,3,Summon,Summon
8261596-44887962-47172314,"FIRST AMENDED COMPLAINT amending 1 Complaint against Oriental Buffet, Inc., Yi Fan Zhang, Poughkeepsie Buffet, Inc., Yu Hui Ren.Document filed by Jorge Marcos Solano, Vicente Del Carmen Gonzalez Gonzalez, Victoria Mejia. Related document: 1 Complaint filed by Jorge Marcos Solano, Vicente Del Carmen Gonzalez Gonzalez, Victoria Mejia.(mro) (Entered: 01/31/2011)",gpt-4o-mini-2024-07-18,395,2,Complaint,Complaint
8261596-44887942-47172293,"AFFIDAVIT OF SERVICE. Oriental Buffet, Inc. served on 12/29/2010, answer due 1/19/2011. Service was accepted by Ien Yuaui, Authorized Agent. Document filed by Jorge Marcos Solano; Vicente Del Carmen Gonzalez Gonzalez; Victoria Mejia. (Charny, Nathaniel) (Entered: 01/10/2011)",gpt-4o-mini-2024-07-18,388,2,Other,Other
8261596-44887923-47172273,"ORDER INITIAL PRETRIAL CONFERENCE: Initial Conference set for 2/3/2011 at 11:00 AM in Courtroom 12C, 500 Pearl Street, New York, NY 10007 before Judge P. Kevin Castel. (Signed by Judge P. Kevin Castel on 12/7/10) (cd) (Entered: 12/08/2010)",gpt-4o-mini-2024-07-18,388,2,Order,Order
8261596-53074065-57105043,***NOTE TO ATTORNEY TO E-MAIL PDF. Note to Attorney Nathaniel K. Charny for noncompliance with Section (14.3) of the S.D.N.Y. Electronic Case Filing Rules & Instructions. E-MAIL the PDF for Document 1 Complaint to: case_openings@nysd.uscourts.gov. (mro),gpt-4o-mini-2024-07-18,382,2,Other,Notice
8261596-53074064-57105042,Case Designated ECF. (ama),gpt-4o-mini-2024-07-18,316,2,Other,Notice
8261596-53074063-57105041,Magistrate Judge Gabriel W. Gorenstein is so designated. (ama),gpt-4o-mini-2024-07-18,324,2,Other,Notice
8261596-53074062-57105040,"SUMMONS ISSUED as to Oriental Buffet, Inc., Yi Fan Zhang. (ama)",gpt-4o-mini-2024-07-18,327,3,Summon,Summon
8261596-44887906-47172256,"COMPLAINT against Oriental Buffet, Inc., Yi Fan Zhang. (Filing Fee $ 350.00, Receipt Number 922666)Document filed by Jorge Marcos Solano, Vicente Del Carmen Gonzalez Gonzalez, Victoria Mejia.(ama) (ama). (Entered: 12/02/2010)",gpt-4o-mini-2024-07-18,370,2,Complaint,Complaint
14932422-62047225-66161407," ORDER adopting  7  Report and Recommendations of Magistrate Judge Mary Gordon Baker. The court adopts the Report and Plaintiff's  2  motion for IFP is DENIED. Therefore, Plaintiff shall have twenty-one (21) days from the  date of this order to pay the full filing fee. If Plaintiff fails to timely pay the  filing fee, the Clerk is directed to dismiss this action without prejudice and enter final judgment at  the close of the twenty-one day period.   Signed by Honorable Timothy M Cain on 04/12/2019. (hada, )",gpt-4o-mini-2024-07-18,426,2,Order,Order
6042861-19396047-20249118,ORDER.  IT IS ORDERED that Defendants' Motion for Summary Judgment  21  is DENIED. See Order for details. Signed by Chief Judge Robert C. Jones on 9/6/2012. (Copies have been distributed pursuant to the NEF - HJ),gpt-4o-mini-2024-07-18,366,2,Order,Order
6042861-19393182-20246253,"  ORDER. IT IS ORDERED that the  9  Motion to Dismiss is GRANTED in part as to claims 1, 2, 3, 4, 7, 8, and 9 and DENIED in part as to claims 5 and 6. Signed by Chief Judge Robert C. Jones on 5/11/2012. (Copies have been distributed pursuant to the NEF - PM)",gpt-4o-mini-2024-07-18,397,2,Order,Order
4942004-16781992-17627677,ORDER ADOPTING REPORT AND RECOMMENDATION of Magistrate Judge and denies the petition for writ of habeas corpus...see order for specifics.  Signed by Honorable Joe Heaton on 05/17/2011. (lam),gpt-4o-mini-2024-07-18,357,2,Order,Order
5292109-17540964-18388515," ORDER granting  5   Motion to Dismiss for Failure to State a Claim; adopting in part Report and Recommendations re  12   Report and Recommendation.  Signed by Honorable Patrick Michael Duffy on January 12, 2015.(tlim, )",gpt-4o-mini-2024-07-18,361,2,Order,Order
5292109-17492555-18340061," REPORT AND RECOMMENDATION  recommending Defendants' Motion to Dismiss, ECF No.  5 , be granted as discussed more fully within the R&R.  Objections to R&R due by 9/25/2014.   Signed by Magistrate Judge Kaymani D West on 9/8/2014  (Attachments:  # 1 Notice of Right to File Objections).(mcot, )",gpt-4o-mini-2024-07-18,397,2,Report,Report
4625542-16090997-16912735,"JUDGMENT as to William Matchopatow (1), Count(s) 1, SENT: 240 months SR: 5 years SA:$100.00, Conditions of Supervised Release/Probation imposed.  SEE Judgment for additional details.  (cc: all counsel) (Griesbach, William)",gpt-4o-mini-2024-07-18,373,3,Judgment,Judgment
8222932-53925542-57959218,"CLERK'S JUDGMENT is hereby entered in accordance with the Court's Order dated  01/15/2019.  Signed by Clerk, Frank G. Johns.  (Pro se litigant served by US Mail.) (ni)",gpt-4o-mini-2024-07-18,359,3,Judgment,Judgment
8222932-53925545-57959221,ORDER DISMISSING CASE as insufficient to proceed. Motion to appoint counsel is denied as moot. Clerk is directed to enter an Order Waiving Initial Partial Filing Fee and close this case.  Signed by Chief Judge Frank D. Whitney on 01/14/2019. (Pro se litigant served by US Mail.)  (ni),gpt-4o-mini-2024-07-18,376,2,Order,Order
8296252-53156604-57187653,***Civil Case Terminated per 18 Stipulation of Dismissal. (ctf),gpt-4o-mini-2024-07-18,327,4,Stipulation,Stipulation
8296252-45961582-48248841,"STIPULATION OF DISMISSAL by Aetna Life Insurance Company, Wendy Wood. (McCracken, Christina) (Entered: 01/08/2014)",gpt-4o-mini-2024-07-18,342,4,Stipulation,Stipulation
8296252-45961575-48248835,ORDER: The Court has been notified that the parties have settled their dispute. The Court hereby ORDERS the parties to present a joint stipulation of dismissal or agreed final judgment on or before 1/8/2014. (Ordered by Judge Jane J Boyle on 12/18/2013) (axm) (Entered: 12/18/2013),gpt-4o-mini-2024-07-18,383,2,Order,Order
8296252-45961567-48248827,"Alternative Dispute Resolution Summary filed by ADR Provider. Attorneys in Attendance: Robert E. Goodman Jr., Esq. and Christina L. McCracken, Esq.. Prv Fee: $ 2,850.00. Outcome of ADR: Settled as a result of ADR. (Parker, Walter) (Entered: 12/17/2013)",gpt-4o-mini-2024-07-18,380,2,Other,Other
8296252-45961561-48248820,"Designation of Experts by Wendy Wood. (Goodman, Robert) (Entered: 12/05/2013)",gpt-4o-mini-2024-07-18,331,2,Other,Notice
8296252-45961554-48248812,MEDIATION ORDER. The court appoints Walter Parker as mediator. Alternative Dispute Resolution Summary form provided electronically or by US Mail as appropriate. The Court hereby ORDERS the parties to complete the mediation no later than 2/3/2014. (Ordered by Judge Jane J Boyle on 10/18/2013) (ctf) (Entered: 10/18/2013),gpt-4o-mini-2024-07-18,389,2,Order,Order
8296252-45961547-48248806,"Designation of Mediator by Aetna Life Insurance Company, Wendy Wood. (Goodman, Robert) (Entered: 10/16/2013)",gpt-4o-mini-2024-07-18,338,2,Other,Notice
8296252-45961537-48248798,SCHEDULING ORDER: This case is set for bench trial on this Court's four-week docket beginning 3/31/2014 before Judge Jane J Boyle. Joinder of Parties due by 10/14/2013. Amended Pleadings due by 10/14/2013. Dispositive Motions due by 12/23/2013. Discovery due by 12/2/2013. Deadline for mediation is on or before 2/3/2014. Pretrial Materials due by 3/17/2014. Pretrial Order due by 3/17/2014. Pretrial Conference set for 3/28/2014 10:00 AM before Judge Jane J Boyle. (Ordered by Judge Jane J Boyle on 9/12/2013) (skt) (Entered: 09/12/2013),gpt-4o-mini-2024-07-18,490,2,Order,Order
8296252-45961528-48248788,"Joint STATUS REPORT filed by Aetna Life Insurance Company, Wendy Wood. (Goodman, Robert) (Entered: 09/11/2013)",gpt-4o-mini-2024-07-18,338,2,Report,Report
8296252-45961519-48248778,STATUS REPORT ORDER: Joint Status Report due by 9/11/2013. (Ordered by Judge Jane J Boyle on 8/13/2013) (twd) (Entered: 08/13/2013),gpt-4o-mini-2024-07-18,355,2,Order,Order
8296252-45961511-48248770,"Certificate of Interested Persons (McCracken, Christina) Modified text on 8/14/2013 (ykp). (Entered: 08/13/2013)",gpt-4o-mini-2024-07-18,343,2,Other,Other
8296252-45961504-48248763,"ANSWER to 1 Complaint filed by Aetna Life Insurance Company. Unless exempted, attorneys who are not admitted to practice in the Northern District of Texas should seek admission promptly. Forms and Instructions found at www.txnd.uscourts.gov, or by clicking here: Attorney Information - Bar Membership. (McCracken, Christina) (Entered: 08/12/2013)",gpt-4o-mini-2024-07-18,385,2,Answer,Answer
8296252-45961497-48248756,"ELECTRONIC ORDER Granting 6 Agreed Motion for Extension of Time for Defendant Aetna Life Insurance Company to Respond to Plaintiff's Original Complaint. Defendant may respond to Plaintiff's Original Complaint on or before August 12, 2013. (Ordered by Judge Jane J Boyle on 8/5/2013) (chmb) (Entered: 08/05/2013)",gpt-4o-mini-2024-07-18,388,2,Order,Order
8296252-45961491-48248750,"MOTION to Extend Time Extend Time filed by Aetna Life Insurance Company (Attachments: # 1 Proposed Order) (McCracken, Christina) (Entered: 07/24/2013)",gpt-4o-mini-2024-07-18,348,4,Request / Motion,Request / Motion
8296252-45961487-48248746,SUMMONS Returned Executed as to Aetna Life Insurance Company; served on 7/3/2013. (ctf) (Entered: 07/05/2013),gpt-4o-mini-2024-07-18,346,3,Summon,Summon
8296252-45961483-48248742,"CERTIFICATE OF INTERESTED PERSONS/DISCLOSURE STATEMENT by Wendy Wood. (Goodman, Robert) (Entered: 07/01/2013)",gpt-4o-mini-2024-07-18,342,2,Other,Other
8296252-45961479-48248738,Summons Issued as to Aetna Life Insurance Company. (ctf) (Entered: 07/01/2013),gpt-4o-mini-2024-07-18,334,3,Summon,Summon
8296252-45961475-48248734,"New Case Notes: A filing fee has been paid. File to Judge Boyle. Pursuant to Misc. Order 6, Plaintiff is provided the Notice of Right to Consent to Proceed Before A U.S. Magistrate Judge (Judge Stickney). Clerk to provide copy to plaintiff if not received electronically. (ctf) (Entered: 07/01/2013)",gpt-4o-mini-2024-07-18,382,2,Notice,Notice
8296252-45961472-50288501,"COMPLAINT against Aetna Life Insurance Company filed by Wendy Wood. (Filing fee $400; Receipt number 0539-5397973) Clerk to issue summons(es). In each Notice of Electronic Filing, the judge assignment is indicated, and a link to the Judges Copy Requirements is provided. The court reminds the filer that any required copy of this and future documents must be delivered to the judge, in the manner prescribed, within three business days of filing. Unless exempted, attorneys who are not admitted to practice in the Northern District of Texas should seek admission promptly. Forms, instructions, and exemption information may be found at www.txnd.uscourts.gov, or by clicking here: Attorney Information - Bar Membership (Attachments: # 1 Cover Sheet) (Goodman, Robert) (Entered: 06/28/2013)",gpt-4o-mini-2024-07-18,479,2,Complaint,Complaint
7126218-28548592-30636679,"Response re 192 Minute Order, 191 MOTION for Permission to Work at SK Laboratories (Ramseyer, Steven)",gpt-4o-mini-2024-07-18,332,2,Multiple,Reply / Response
7126218-28548591-30636678,"Minute Order as to Sitesh Bansi Patel. The United States is granted leave to file a response to the defendant's Motion for Permission to Work at S.K. Laboratories, Inc., While on Supervised Release (ECF No. 191), provided such response is filed no later than June 8, 2018. Signed by Judge James P. Jones on 5/25/2018. (JPJ)",gpt-4o-mini-2024-07-18,393,3,Minute Entry,Minute Entry
7126218-28548590-30636677,"MOTION for Permission to Work at SK Laboratories by Sitesh Bansi Patel. (Attachments: # 1 Exhibit A, # 2 Exhibit B, # 3 Exhibit C, # 4 Exhibit D, # 5 Exhibit E, # 6 Exhibit F, # 7 Text of Proposed Order)(Hall, Patrick)",gpt-4o-mini-2024-07-18,374,4,Request / Motion,Request / Motion
7126218-28548589-30636676,MANDATE of USCA as to Sitesh Bansi Patel re 150 Notice of Appeal - Final Judgment to 4CCA (ab),gpt-4o-mini-2024-07-18,335,2,Other,Other
7126218-28548588-30636675,JUDGMENT of USCA as to Sitesh Bansi Patel re 150 Notice of Appeal - Final Judgment to 4CCA. (Attachments: # 1 Notice of Judgment)(flc),gpt-4o-mini-2024-07-18,348,3,Judgment,Judgment
7126218-28548587-30636674,USCA 4th Circuit Memorandum Opinion as toSitesh Bansi Patel re 150 Notice of Appeal - Final Judgment to 4CCA; AFFIRMED decided on 4/25/18 (flc),gpt-4o-mini-2024-07-18,352,7,Brief / Memorandum of Law,Brief / Memorandum of Law
7126218-28548586-30636673,"Appeal Transcript filed as to Sitesh Bansi Patel for Motion Hearing for dates of 02-21-2017 before Judge James P. Jones, re 185 USCA Appeal Transcript Order Acknowledgment Court Reporter/Transcriber: Bridget Dickert, Court Reporter, Telephone number 276/608-0009. NOTICE RE REDACTION OF TRANSCRIPTS:The parties have seven (7) calendar days to file with the Court a Notice of Intent to Request Redaction of this transcript. If no such Notice is filed, the transcript will be made remotely electronically available to the public without redaction after 90 calendar days. The policy is located on our website at www.vawd.uscourts.gov Does this satisfy all appellate orders for this reporter? Yes Transcript may be viewed at the court public terminal or purchased through the Court Reporter/Transcriber before the deadline for Release of Transcript Restriction. After that date it may be obtained through PACER. Redaction Request due 1/9/2018. Redacted Transcript Deadline set for 1/19/2018. Release of Transcript Restriction set for 3/19/2018. (bkd)",gpt-4o-mini-2024-07-18,544,2,Other,Other
7126218-28548585-30636672,"Financial arrangements made (COPY - Ordinary-30 calendar days Service) re 184 Transcript Request, as to Sitesh Bansi Patel Transcript due by 1/22/2018. (bkd)",gpt-4o-mini-2024-07-18,348,2,Other,Other
7126218-28548584-30636671,USCA Appeal Transcript Order Acknowledgment re 150 Notice of Appeal - Final Judgment to 4CCA Court Reporter: Bridget Dickert. (Motion Hearing on 02-21-2017) Appeal Transcript due by 1/22/2018. (bkd),gpt-4o-mini-2024-07-18,363,2,Other,Other
7126218-28548583-30636670,"TRANSCRIPT REQUEST (COPY *Only applies if original transcript has been ordered Service) by USA as to Sitesh Bansi Patel for Motion Hearing held on 02/21/2017 reported by Court Reporter Bridget Dickert before Judge Jones. Transcript Due Deadline will be set when Financial Arrangements are made. (Bockhorst, Jennifer)",gpt-4o-mini-2024-07-18,376,2,Other,Request / Motion
7126218-28548582-30636669,ORDER denying 180 Motion transfer to Residential Re-Entry Center as to Sitesh Bansi Patel (1). Signed by Judge James P. Jones on 12/04/2017. (ab),gpt-4o-mini-2024-07-18,348,2,Order,Order
7126218-28548581-30636668,"RESPONSE in Opposition by USA as to Sitesh Bansi Patel re 180 MOTION for Judicial Recommendation for Immediate Placement in a Residential Re-Entry Center, 181 Minute Order, (Ramseyer, Steven)",gpt-4o-mini-2024-07-18,351,4,Reply / Response,Reply / Response
7126218-28548580-30636667,"Minute Order as to Sitesh Bansi Patel. The United States is granted leave to file a response to the defendant's Motion for Judicial Recommendation for Immediate Placement in a Residential Re-Entry Center, provided such response is filed no later than Wednesday, November 29, 2017. Signed by Judge James P. Jones on 11/22/2017. (JPJ)",gpt-4o-mini-2024-07-18,384,3,Minute Entry,Minute Entry
7126218-28548579-30636666,"MOTION for Judicial Recommendation for Immediate Placement in a Residential Re-Entry Center by Sitesh Bansi Patel. (Attachments: # 1 Exhibit List, # 2 Exhibit A, # 3 Exhibit B, # 4 Exhibit C, # 5 Exhibit D, # 6 Exhibit E, # 7 Exhibit F, # 8 Exhibit G, # 9 Exhibit H, # 10 Exhibit I, # 11 Exhibit J, # 12 Exhibit K, # 13 Exhibit L, # 14 Exhibit M, # 15 Exhibit N, # 16 Text of Proposed Order)(Hall, Patrick) Modified on 11/22/2017 to remove referral text from docket entry (ab).",gpt-4o-mini-2024-07-18,453,4,Request / Motion,Request / Motion
7126218-28548578-30636665,ORDER of USCA denying motion for release pending appeal as to Sitesh Bansi Patel (ejs),gpt-4o-mini-2024-07-18,328,2,Order,Order
7126218-28548577-30636664,ORDER granting 177 Motion to Modify the Protective Order as to Sitesh Bansi Patel (1). Signed by Magistrate Judge Pamela Meade Sargent on 8/22/17. (ejs),gpt-4o-mini-2024-07-18,349,2,Order,Order
7126218-28548576-30636663,"Second MOTION to Modify Discovery Protective Order (Docket Item Number 6) re 6 Order on Motion for Disclosure by Sitesh Bansi Patel. Motions referred to Judge Pamela Meade Sargent. (Attachments: # 1 Exhibit A, # 2 Exhibit B, # 3 Text of Proposed Order)(Hall, Patrick)",gpt-4o-mini-2024-07-18,376,4,Request / Motion,Request / Motion
7126218-28548575-30636662,"Appeal Transcript filed as to Sitesh Bansi Patel for Sentencing for dates of 6/6/17 before Judge James P. Jones, re 166 USCA Appeal Transcript Order Acknowledgment, Court Reporter: Bridget A. Dickert, Telephone number: bridgetd@vawd.uscourts,gov. NOTICE RE REDACTION OF TRANSCRIPTS:The parties have seven (7) calendar days to file with the Court a Notice of Intent to Request Redaction of this transcript. If no such Notice is filed, the transcript will be made remotely electronically available to the public without redaction after 90 calendar days. The policy is located on our website at www.vawd.uscourts.gov Does this satisfy all appellate orders for this reporter? Yes Transcript may be viewed at the court public terminal or purchased through the Court Reporter/Transcriber before the deadline for Release of Transcript Restriction. After that date it may be obtained through PACER. Redaction Request due 9/6/2017. Redacted Transcript Deadline set for 9/18/2017. Release of Transcript Restriction set for 11/14/2017. (bad)",gpt-4o-mini-2024-07-18,545,2,Other,Other
7126218-28548574-30636661,"Appeal Transcript filed as to Sitesh Bansi Patel for Jury Trial (Motions, Closing Arguments and Jury Instructions) for dates of 3/10/17 before Judge James P. Jones, re 166 USCA Appeal Transcript Order Acknowledgment, Court Reporter: Bridget A. Dickert, OCR, Telephone number: bridgetd@vawd.uscourts.gov. NOTICE RE REDACTION OF TRANSCRIPTS:The parties have seven (7) calendar days to file with the Court a Notice of Intent to Request Redaction of this transcript. If no such Notice is filed, the transcript will be made remotely electronically available to the public without redaction after 90 calendar days. The policy is located on our website at www.vawd.uscourts.gov Does this satisfy all appellate orders for this reporter? No Transcript may be viewed at the court public terminal or purchased through the Court Reporter/Transcriber before the deadline for Release of Transcript Restriction. After that date it may be obtained through PACER. Redaction Request due 9/5/2017. Redacted Transcript Deadline set for 9/14/2017. Release of Transcript Restriction set for 11/13/2017. (bad)",gpt-4o-mini-2024-07-18,556,2,Notice,Other
